,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,PER_EPS,PBR_BPS,Return_rate(PER),Return_rate(PBR),ROE_20,ROE_19,roe_past_2,roe_past_3
0,040910,아이씨디,특수 목적용 기계 제조업,"건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입",6,2584,14550.0,224319.87,18150.09,1441.72,24.74,28.31,8.01,22.47,19.84
1,060150,인선이엔티,폐기물 처리업,건축폐기물처리,6,3286,8560.0,84390.69,8959.89,885.87,4.67,13.91,8.58,8.83,1.91
2,091700,파트론,전자부품 제조업,이동통신안테나및유전체필터류등,6,5074,9370.0,91522.13,11350.83,876.76,21.14,11.24,18.71,3.09,0.26
3,200130,콜마비앤에이치,기초 의약물질 및 생물학적 제제 제조업,기업인수합병,6,16131,54600.0,441590.4,58344.73,708.77,6.86,25.12,23.84,25.89,30.94
4,096530,씨젠,의료용품 및 기타 의약 관련제품 제조업,"호흡기성 병원체 검사제품, 성감염증원인균 검사제품",6,45254,172500.0,1346966.36,123350.48,680.85,-28.49,99.79,19.01,8.76,2.52
5,064960,S&T모티브,자동차 신품 부품 제조업,"자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매",6,5820,39800.0,272061.79,55249.72,583.57,38.82,9.74,0.33,7.77,8.12
6,017960,한국카본,"구조용 금속제품, 탱크 및 증기발생기 제조업","탄소섬유(카본프리프레그(낚시대,테니스라켓,골프 Shaft,스포츠레저용품)),합성수지,글라스페이퍼,LNG선박용 단열판넬 제조,도매",6,3306,7520.0,50365.8,7230.36,569.76,-3.85,10.94,5.74,-0.97,0.24
7,009150,삼성전기,전자부품 제조업,"영상,음향,통신장비,모듈,다층인쇄회로기판,적층세라믹콘덴서,고주파필터,전압제어발진기,온도보상형수정발진기,칩인덕터,디지털위성방송수신기,광픽업,편향코일",6,94114,126000.0,804380.0,111210.16,538.4,-11.74,8.49,10.18,14.5,3.82
8,091120,이엠텍,전자부품 제조업,"마이크로스피커,리시버",6,2128,13250.0,57165.93,14389.53,331.44,8.6,6.61,0.21,14.27,3.98
9,230240,에치에프알,통신 및 방송 장비 제조업,통신장비제조업,6,4152,34650.0,141167.96,0.0,307.41,-100.0,18.86,1.29,0.66,6.43
10,237880,클리오,기타 화학제품 제조업,"색조화장품, 기초화장품",5,3096,18050.0,67059.36,22479.6,271.52,24.54,8.87,2.05,0.7,5.55
11,002150,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,종합감리전문업,종합기술용역,엔지니어링",6,2708,8030.0,29066.7,7298.1,261.98,-9.11,11.19,6.93,5.69,5.07
12,222980,한국맥널티,기타 식품 제조업,커피 및 의약품,6,640,6210.0,22293.32,8180.39,258.99,31.73,23.42,-3.84,2.42,4.52
13,009420,한올바이오파마,의약품 제조업,"의약품 제조,도매/부동산 임대",6,13739,26300.0,86531.79,32246.73,229.02,22.61,13.91,14.9,2.89,5.39
14,227840,현대코퍼레이션홀딩스,음·식료품 및 담배 도매업,"브랜드사업, 육류유통",6,870,9560.0,31024.32,17599.03,224.52,84.09,9.32,5.93,2.58,6.62
15,052710,아모텍,전자부품 제조업,"칩바리스터, 아몰퍼스코어",5,3137,32200.0,103957.74,31408.0,222.85,-2.46,3.32,0.18,3.66,14.2
16,028260,삼성물산,기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",5,195297,104500.0,323742.45,143748.5,209.8,37.56,4.75,4.77,8.06,3.13
17,141000,비아트론,특수 목적용 기계 제조업,AMOLED 등 제조장비,6,1260,10400.0,27508.15,0.0,164.5,-100.0,12.81,3.66,20.6,11.73
18,074600,원익QnC,유리 및 유리제품 제조업,석영유리가공제품,5,3733,14200.0,36473.44,16831.48,156.86,18.53,11.93,1.23,21.25,18.11
19,039840,디오,의료용 기기 제조업,자동포장기계,6,3966,25550.0,63517.44,48333.45,148.6,89.17,14.27,16.97,4.87,7.88
20,036200,유니셈,특수 목적용 기계 제조업,반도체장비(DryGasScrubber),6,1975,6440.0,15869.42,0.0,146.42,-100.0,18.8,18.57,22.72,29.81
21,123420,선데이토즈,소프트웨어 개발 및 공급업,모바일게임,6,2632,27500.0,66746.33,33605.25,142.71,22.2,17.68,2.16,7.51,11.12
22,181710,엔에이치엔,소프트웨어 개발 및 공급업,한게임,6,17511,89500.0,211667.07,70483.34,136.5,-21.25,5.01,0.78,5.79,1.12
23,054450,텔레칩스,반도체 제조업,"디지털미디어프로세서,발신자정보표시칩",6,1085,8030.0,18738.0,10399.28,133.35,29.51,7.62,8.32,10.3,1.9
24,054950,제이브이엠,일반 목적용 기계 제조업,"전자동 정제,분류 및 포장시스템",6,2134,33700.0,78551.31,50078.37,133.09,48.6,11.71,4.7,6.68,9.82
25,143240,사람인에이치알,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","온라인 채용광고(취업포털), 인재파견, 취업지원 등",6,2862,24550.0,55586.58,32344.99,126.42,31.75,19.98,25.35,20.17,4.56
26,092730,네오팜,기타 화학제품 제조업,생체기능성(아토피)보습제,6,2737,33350.0,75174.98,75327.72,125.41,125.87,17.58,23.33,28.76,26.83
