,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,PER_EPS,PBR_BPS,Return_rate(PER),Return_rate(PBR),ROE_20,ROE_19,roe_past_2,roe_past_3
0,077500,유니퀘스트,기계장비 및 관련 물품 도매업,"반도체직접회로 도매,무역,제조",6,3015,11050.0,747901.28,8929.08,6668.34,-19.19,7.66,12.68,6.55,5.48
1,040910,아이씨디,특수 목적용 기계 제조업,"건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입",6,2644,14850.0,231624.97,18274.53,1459.76,23.06,29.14,8.01,22.47,19.84
2,091700,파트론,전자부품 제조업,이동통신안테나및유전체필터류등,6,5345,9870.0,94710.82,11475.57,859.58,16.27,11.6,18.71,3.09,0.26
3,060150,인선이엔티,폐기물 처리업,건축폐기물처리,6,3524,9180.0,86667.57,9062.52,844.09,-1.28,14.28,8.58,8.83,1.91
4,200130,콜마비앤에이치,기초 의약물질 및 생물학적 제제 제조업,기업인수합병,6,18228,61700.0,457601.83,59971.73,641.66,-2.8,25.85,23.84,25.89,30.94
5,064960,S&T모티브,자동차 신품 부품 제조업,"자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매",6,6061,41450.0,272332.93,55528.29,557.02,33.96,9.74,0.33,7.77,8.12
6,096530,씨젠,의료용품 및 기타 의약 관련제품 제조업,"호흡기성 병원체 검사제품, 성감염증원인균 검사제품",6,54698,208500.0,1293677.13,121689.87,520.47,-41.64,101.82,19.01,8.76,2.52
7,017960,한국카본,"구조용 금속제품, 탱크 및 증기발생기 제조업","탄소섬유(카본프리프레그(낚시대,테니스라켓,골프 Shaft,스포츠레저용품)),합성수지,글라스페이퍼,LNG선박용 단열판넬 제조,도매",6,3666,8340.0,50502.15,7365.76,505.54,-11.68,10.94,5.74,-0.97,0.24
8,009150,삼성전기,전자부품 제조업,"영상,음향,통신장비,모듈,다층인쇄회로기판,적층세라믹콘덴서,고주파필터,전압제어발진기,온도보상형수정발진기,칩인덕터,디지털위성방송수신기,광픽업,편향코일",6,102704,137500.0,796248.63,112915.64,479.09,-17.88,8.39,10.18,14.5,3.82
9,237880,클리오,기타 화학제품 제조업,"색조화장품, 기초화장품",5,2976,17350.0,64377.24,22369.56,271.05,28.93,8.52,2.05,0.7,5.55
10,002150,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,종합감리전문업,종합기술용역,엔지니어링",6,2667,7910.0,29046.4,7284.59,267.21,-7.91,11.19,6.93,5.69,5.07
11,230240,에치에프알,통신 및 방송 장비 제조업,통신장비제조업,6,4278,35700.0,120270.44,0.0,236.89,-100.0,15.92,1.29,0.66,6.43
12,052710,아모텍,전자부품 제조업,"칩바리스터, 아몰퍼스코어",5,3030,31100.0,103774.2,31234.67,233.68,0.43,3.32,0.18,3.66,14.2
13,222980,한국맥널티,기타 식품 제조업,커피 및 의약품,6,701,6810.0,22393.77,8281.73,228.84,21.61,23.42,-3.84,2.42,4.52
14,227840,현대코퍼레이션홀딩스,음·식료품 및 담배 도매업,"브랜드사업, 육류유통",6,897,9860.0,31075.01,17635.32,215.16,78.86,9.32,5.93,2.58,6.62
15,028260,삼성물산,기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",5,198100,106000.0,318774.47,142555.98,200.73,34.49,4.7,4.77,8.06,3.13
16,141000,비아트론,특수 목적용 기계 제조업,AMOLED 등 제조장비,6,1179,9730.0,27395.91,0.0,181.56,-100.0,12.81,3.66,20.6,11.73
17,009420,한올바이오파마,의약품 제조업,"의약품 제조,도매/부동산 임대",6,16691,31950.0,87475.48,33126.82,173.79,3.68,13.92,14.9,2.89,5.39
18,091120,이엠텍,전자부품 제조업,"마이크로스피커,리시버",6,2096,13050.0,35511.6,13948.46,172.12,6.88,4.08,0.21,14.27,3.98
19,123420,선데이토즈,소프트웨어 개발 및 공급업,모바일게임,6,2359,24650.0,66270.88,33134.43,168.85,34.42,17.68,2.16,7.51,11.12
20,074600,원익QnC,유리 및 유리제품 제조업,석영유리가공제품,5,3720,14150.0,36464.87,16816.26,157.7,18.84,11.93,1.23,21.25,18.11
21,036200,유니셈,특수 목적용 기계 제조업,반도체장비(DryGasScrubber),6,1898,6190.0,15827.34,0.0,155.69,-100.0,18.8,18.57,22.72,29.81
