,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,매수,매도_1st,매도_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Average_ROE_Price,Return_rate(Ave_ROE)
0,12630,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",5,5610,9390,43706,46980,58607,4.65,6.24,11.67,12.58,38.82,14.36,0,104247,11.1
1,1120,LG상사,상품 중개업,"전자,기계,화공,유류.금속,의류 수출입,도소매",0,5950,15350,44149,53932,88671,2.88,5.78,22.28,2.48,-6.06,4.93,0,161,0.01
2,35890,서희건설,건물 건설업,"토목, 건축, 부동산임대업",1,2236,1080,2812,3496,5923,2.6,5.48,24.35,18.62,13.22,13.36,0,3785,3.5
3,175330,JB금융지주,기타 금융업,금융지주 회사,0,9396,4770,18434,18872,20428,3.86,4.28,8.97,10.36,8.69,7.86,1,21183,4.44
4,140290,청광건설,토목 건설업,"관도급, BTL, 자체사업",0,84,826,2798,2943,3459,3.39,4.19,10.41,6.45,0,0,0,1050,1.27
5,123890,한국자산신탁,신탁업 및 집합투자업,"부동산 신탁 서비스, REITs",6,3465,2795,6744,7752,11331,2.41,4.05,16.42,14.28,18.52,27.12,0,12376,4.43
6,139130,DGB금융지주,기타 금융업,지주회사,0,8626,5100,25657,24418,20019,5.03,3.93,5.75,7.31,9.25,7.97,0,28085,5.51
7,17940,E1,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",0,2415,35200,159545,154455,136377,4.53,3.87,6.43,-3.63,6.47,7.39,0,34092,0.97
8,14790,한라,토목 건설업,"토목,건축,전기,환경사업,준설공사,포장공사,주택,중기임대",0,1211,3115,8010,8852,11841,2.57,3.8,13.46,0.97,-3.82,12.8,0,931,0.3
9,138930,BNK금융지주,기타 금융업,금융지주회사,0,16558,5080,23927,22713,18402,4.71,3.62,5.65,7.07,6.84,5.83,1,22001,4.33
10,18670,SK가스,기타 전문 도매업,"액화석유가스,가스기기 판매,수입,저장",1,7163,77600,207074,223059,279825,2.67,3.61,11.8,9.85,3.9,7.08,0,170822,2.2
11,84010,대한제강,1차 철강 제조업,"제강,철재,철근,환봉,마환봉,빌레트 제조",6,1659,6730,21929,22387,24015,3.26,3.57,8.83,6.73,-3.83,6.86,0,8059,1.2
12,34830,한국토지신탁,신탁업 및 집합투자업,부동산신탁 등,6,4406,1745,4302,4689,6063,2.47,3.47,12.54,12.72,21.75,25.66,0,8184,4.69
13,3070,코오롱글로벌,토목 건설업,"토목공사,일반건설,주택건설,해외건설,소각로설비공사/환경플랜트,폐처리기 제조",0,2571,10200,22325,25180,35318,2.19,3.46,14.93,10.74,3.59,3.38,1,16683,1.64
14,23890,한국아트라스비엑스,일차전지 및 축전지 제조업,축전지,6,4163,45500,110153,120444,156989,2.42,3.45,12.75,15.6,17.32,17.6,0,145991,3.21
15,3540,대신증권,금융 지원 서비스업,"유가증권 위탁매매,인수주선,자기매매 기타 금융서비스",0,5230,10300,47366,44596,34759,4.6,3.37,5.34,4.79,7.34,6.36,0,19146,1.86
16,1500,현대차증권,금융 지원 서비스업,"유가증권의매매,위탁매매,유가증권의 중개,대리/부동산 임대",0,2684,9150,33079,32596,30880,3.62,3.37,7.18,7.93,6.06,6.04,1,22763,2.49
17,86790,하나금융지주,기타 금융업,기타 금융,0,86620,28850,96045,95731,94615,3.33,3.28,7.69,8.77,8.88,8.79,0,106385,3.69
18,4150,한솔홀딩스,기타 금융업,"지주회사,경영자문컨설팅",2,1319,3140,10308,10292,10237,3.28,3.26,7.77,6,-8.9,-11.11,1,-2309,-0.74
19,24110,기업은행,은행 및 저축기관,은행업,0,55809,8250,31979,30830,26749,3.88,3.24,6.26,7.36,8.62,7.98,0,33753,4.09
20,316140,우리금융지주,기타 금융업,금융지주,4,63560,8800,29422,29151,28186,3.34,3.2,7.42,0,0,0,0,0,0
21,2990,금호산업,건물 건설업,"종합건설/여객운송,관광/부동산 임대,분양",0,2418,6600,12885,14625,20802,1.95,3.15,15.41,3.2,-0.13,27.07,0,8242,1.25
22,5960,동부건설,토목 건설업,"건축공사,토목공사,전기공사,기계설비공사/비금속,철구조물 제조,판매/여객,자동차 운송,항만하역",4,2614,11950,22812,26056,37578,1.91,3.14,15.91,15.29,22.21,34.56,0,50670,4.24
23,120110,코오롱인더,화학섬유 제조업,"산업자재, 화학, 필름",0,9362,34700,81975,87458,106930,2.36,3.08,11.22,1.58,3.04,6.49,0,24937,0.72
24,210,대림산업,토목 건설업,"산업플랜트공사,건축,토목,폴리에틸렌,폴리부텐,각종폴리머 제조,기술용역",3,30102,86500,192184,208483,266364,2.22,3.08,12.24,11.74,12.37,10.14,0,229218,2.65
25,255440,야스,특수 목적용 기계 제조업,"OLED 증착기, OLED 증착원",6,1763,13500,17821,22530,39250,1.32,2.91,26.55,11.22,29.17,20.84,0,27872,2.06
26,83550,케이엠,기타 섬유제품 제조업,클린룸용Wiper,6,1902,18500,18990,26656,53878,1.03,2.91,47.76,8.15,6.07,6.14,0,7651,0.41
27,88350,한화생명,보험업,생명보험,0,12811,1475,14040,11892,4264,9.52,2.89,1.98,0.87,4.22,6.54,0,5860,3.97
28,23590,다우기술,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","인터넷솔루션 개발,도매,IT컨설팅,시스템 설계,자문,인터넷관련서비스/부동산분양,개발,임대",1,9332,20800,37432,42381,59954,1.8,2.88,15.22,14.61,9.78,11.53,0,47760,2.3
29,294870,HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",5,14434,21900,40143,44886,61728,1.83,2.82,14.29,20.3,0,0,0,65780,3
30,105560,KB금융,기타 금융업,-,0,147196,35400,98841,98798,98645,2.79,2.79,7.82,8.92,8.78,10.18,0,110535,3.12
31,6360,GS건설,건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",0,21466,26800,55479,59576,74126,2.07,2.77,11.61,11.79,17.34,-5.22,0,69017,2.58
32,8560,메리츠증권,금융 지원 서비스업,"유가증권의 위탁매매,자기매매,인수공모주선업무",0,21259,3145,6726,7128,8556,2.14,2.72,10.83,15.06,13,13.79,0,10312,3.28
33,23410,유진기업,"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘,0,3150,4075,10856,10892,11017,2.66,2.7,7.99,2.61,3.15,12.44,0,5802,1.42
34,14830,유니드,기초 화학물질 제조업,"탄산칼륨,가성칼륨,가성카리,탄산카리(무기화합물),MDF(가공목재) 제조,도매",6,3703,41650,88024,93010,110715,2.11,2.66,10.66,9.87,5.52,6.19,0,79642,1.91
35,30210,KTB투자증권,금융 지원 서비스업,"금융업, 서비스, 부동산",0,1472,2440,8932,8389,6462,3.66,2.65,5.25,9.18,6.73,7.66,0,8377,3.43
36,55550,신한지주,기타 금융업,금융지주회사,0,145606,30500,81736,81487,80601,2.68,2.64,7.7,9.09,9.21,9.13,0,94282,3.09
37,298020,효성티앤씨,화학섬유 제조업,"섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등",3,4890,113000,154984,186475,298299,1.37,2.64,20.64,20.86,0,0,0,151222,1.34
38,82640,동양생명,보험업,생명보험,0,4817,2985,14680,13162,7770,4.92,2.6,3.65,4.73,2.15,8.99,0,9638,3.23
39,78020,이베스트투자증권,금융 지원 서비스업,유가증권위탁매매,0,2757,4970,10807,11267,12903,2.17,2.6,9.92,11.23,8.58,10.19,0,13110,2.64
40,36190,금화피에스시,전기 및 통신 공사업,"설비,철물,전기,강구조물",6,1464,24400,45214,48948,62206,1.85,2.55,12.11,12.04,19.69,11.76,0,74019,3.03
41,67990,도이치모터스,자동차 판매업,수입자동차,0,1778,6340,10754,11924,16076,1.7,2.54,13.69,26.2,20.58,3.48,1,23178,3.66
42,227840,현대코퍼레이션홀딩스,음·식료품 및 담배 도매업,"브랜드사업, 육류유통",6,897,9860,21738,22408,24788,2.2,2.51,9.32,5.93,2.58,6.62,0,12811,1.3
43,1450,현대해상,보험업,손해보험(자동차보험),0,20696,23150,56877,56939,57158,2.46,2.47,7.89,6.23,10.33,15.61,0,59436,2.57
44,5880,대한해운,해상 운송업,"외항화물운송,국제해운대리점",0,3933,16100,36199,36993,39811,2.25,2.47,8.88,11.47,10.94,19.23,0,55142,3.42
45,124560,태웅로직스,기타 운송관련 서비스업,"3자물류주선 (복합운송, 프로젝트운송, CIS운송 등)",2,614,3480,3826,4811,8307,1.1,2.39,25.81,30.62,39.83,0,0,8678,2.49
46,47040,대우건설,건물 건설업,"아파트건설,토목공사,건축공사,포장공사,전기공사,무역/중장비 대여",0,14339,3450,6488,6868,8220,1.88,2.38,10.77,8.8,13.2,12.12,0,8501,2.46
47,57050,현대홈쇼핑,무점포 소매업,TV홈쇼핑 도소매/홈쇼핑프로그램 제작,6,7500,62500,150192,149371,146455,2.4,2.34,7.59,5.03,10.32,8.16,0,137651,2.2
