,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,매수,매도_1st,매도_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Average_ROE_Price,Return_rate(Ave_ROE)
0,001120,LG상사,상품 중개업,"전자,기계,화공,유류.금속,의류 수출입,도소매",0,5620.0,14500.0,44140.0,53949.0,88783.0,3.04,6.12,22.34,2.48,-6.06,4.93,0,161.0,0.01
1,035890,서희건설,건물 건설업,"토목, 건축, 부동산임대업",1,2257.0,1090.0,2806.0,3488.0,5911.0,2.57,5.42,24.35,18.62,13.22,13.36,0,3785.0,3.47
2,005950,이수화학,기초 화학물질 제조업,"등유,알킬벤젠,윤활유,노말파라핀 제조,도매",0,1262.0,8260.0,24881.0,27882.0,38539.0,3.01,4.67,14.45,-2.4,2.31,1.21,0,-604.0,-0.07
3,175330,JB금융지주,기타 금융업,금융지주 회사,0,9396.0,4770.0,18429.0,18863.0,20405.0,3.86,4.28,8.96,10.36,8.69,7.86,1,21183.0,4.44
4,123890,한국자산신탁,신탁업 및 집합투자업,"부동산 신탁 서비스, REITs",6,3391.0,2735.0,6744.0,7752.0,11331.0,2.47,4.14,16.42,14.28,18.52,27.12,0,12376.0,4.53
5,140290,청광건설,토목 건설업,"관도급, BTL, 자체사업",0,90.0,857.0,2798.0,2943.0,3459.0,3.26,4.04,10.41,6.45,0.0,0.0,0,1050.0,1.23
6,014790,한라,토목 건설업,"토목,건축,전기,환경사업,준설공사,포장공사,주택,중기임대",0,1147.0,2950.0,8010.0,8852.0,11841.0,2.72,4.01,13.46,0.97,-3.82,12.8,0,931.0,0.32
7,139130,DGB금융지주,기타 금융업,지주회사,0,8474.0,5010.0,25625.0,24363.0,19880.0,5.11,3.97,5.71,7.31,9.25,7.97,0,28085.0,5.61
8,017940,E1,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",0,2363.0,34450.0,159545.0,154455.0,136377.0,4.63,3.96,6.43,-3.63,6.47,7.39,0,34092.0,0.99
9,003070,코오롱글로벌,토목 건설업,"토목공사,일반건설,주택건설,해외건설,소각로설비공사/환경플랜트,폐처리기 제조",0,2241.0,8890.0,22112.0,24806.0,34372.0,2.49,3.87,14.53,10.74,3.59,3.38,1,16683.0,1.88
10,018670,SK가스,기타 전문 도매업,"액화석유가스,가스기기 판매,수입,저장",1,6683.0,72400.0,207074.0,223059.0,279825.0,2.86,3.86,11.8,9.85,3.9,7.08,0,170822.0,2.36
11,084010,대한제강,1차 철강 제조업,"제강,철재,철근,환봉,마환봉,빌레트 제조",6,1585.0,6430.0,21929.0,22387.0,24015.0,3.41,3.73,8.83,6.73,-3.83,6.86,0,8059.0,1.25
12,138930,BNK금융지주,기타 금융업,금융지주회사,0,16395.0,5030.0,23971.0,22790.0,18597.0,4.77,3.7,5.71,7.07,6.84,5.83,1,22001.0,4.37
13,005960,동부건설,토목 건설업,"건축공사,토목공사,전기공사,기계설비공사/비금속,철구조물 제조,판매/여객,자동차 운송,항만하역",4,2221.0,10150.0,22812.0,26056.0,37578.0,2.25,3.7,15.91,15.29,22.21,34.56,0,50670.0,4.99
14,001500,현대차증권,금융 지원 서비스업,"유가증권의매매,위탁매매,유가증권의 중개,대리/부동산 임대",0,2497.0,8510.0,33079.0,32596.0,30880.0,3.89,3.63,7.18,7.93,6.06,6.04,1,22763.0,2.67
15,034830,한국토지신탁,신탁업 및 집합투자업,부동산신탁 등,6,4355.0,1725.0,4291.0,4676.0,6046.0,2.49,3.51,12.54,12.72,21.75,25.66,0,8184.0,4.74
16,003540,대신증권,금융 지원 서비스업,"유가증권 위탁매매,인수주선,자기매매 기타 금융서비스",0,5062.0,9970.0,47366.0,44596.0,34759.0,4.75,3.49,5.34,4.79,7.34,6.36,0,19146.0,1.92
17,086790,하나금융지주,기타 금융업,기타 금융,0,77312.0,25750.0,94826.0,93590.0,89202.0,3.68,3.46,7.25,8.77,8.88,8.79,0,106385.0,4.13
18,004150,한솔홀딩스,기타 금융업,"지주회사,경영자문컨설팅",2,1243.0,2960.0,10308.0,10292.0,10237.0,3.48,3.46,7.77,6.0,-8.9,-11.11,1,-2309.0,-0.78
19,023890,한국아트라스비엑스,일차전지 및 축전지 제조업,축전지,6,4182.0,45700.0,110153.0,120444.0,156989.0,2.41,3.44,12.75,15.6,17.32,17.6,0,145991.0,3.19
20,316140,우리금융지주,기타 금융업,금융지주,4,60743.0,8410.0,29457.0,29211.0,28338.0,3.5,3.37,7.46,0.0,0.0,0.0,0,0.0,0.0
21,024110,기업은행,은행 및 저축기관,은행업,0,53238.0,7870.0,31873.0,30644.0,26279.0,4.05,3.34,6.15,7.36,8.62,7.98,0,33753.0,4.29
22,000210,대림산업,토목 건설업,"산업플랜트공사,건축,토목,폴리에틸렌,폴리부텐,각종폴리머 제조,기술용역",3,28536.0,82000.0,192674.0,209344.0,268540.0,2.35,3.27,12.34,11.74,12.37,10.14,0,229218.0,2.8
23,120110,코오롱인더,화학섬유 제조업,"산업자재, 화학, 필름",0,9254.0,34300.0,81975.0,87458.0,106930.0,2.39,3.12,11.22,1.58,3.04,6.49,0,24937.0,0.73
