,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,PER_EPS,PBR_BPS,Return_rate(PER),Return_rate(PBR),ROE_20,ROE_19,roe_past_2,roe_past_3
0,077500,유니퀘스트,기계장비 및 관련 물품 도매업,"반도체직접회로 도매,무역,제조",6,3110.0,11400.0,747959.8,8986.78,6461.05,-21.17,7.66,12.68,6.55,5.48
1,040910,아이씨디,특수 목적용 기계 제조업,"건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입",6,2768.0,15550.0,233472.69,18342.7,1401.43,17.96,29.42,8.01,22.47,19.84
2,066570,LG전자,통신 및 방송 장비 제조업,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",0,115699.0,70700.0,861744.01,80351.89,1118.87,13.65,9.68,0.22,9.03,13.69
3,086520,에코프로,기타 화학제품 제조업,"환경소재,화학필터,이차전지소재등",3,8019.0,36300.0,371046.34,42577.85,922.17,17.29,15.3,9.33,24.03,-4.71
4,060150,인선이엔티,폐기물 처리업,건축폐기물처리,6,3517.0,9160.0,86148.57,9018.27,840.49,-1.55,14.22,8.58,8.83,1.91
5,011070,LG이노텍,전자부품 제조업,기타 전자부품 제조업,1,38104.0,161000.0,1247794.6,146910.58,675.03,-8.75,14.3,4.73,8.02,9.37
6,200130,콜마비앤에이치,기초 의약물질 및 생물학적 제제 제조업,기업인수합병,6,17608.0,59600.0,461362.81,59867.5,674.1,0.45,26.02,23.84,25.89,30.94
7,106240,파인테크닉스,통신 및 방송 장비 제조업,"휴대폰부품, 소형LCD부품, LED조명기기",4,2292.0,5350.0,40765.78,3044.01,661.98,-43.1,23.08,0.59,-40.49,-49.64
8,073490,이노와이어리스,통신 및 방송 장비 제조업,통신용 시험 및 계측장비,6,3557.0,52800.0,381970.43,31223.54,623.43,-40.86,22.38,17.76,0.33,-0.32
9,091700,파트론,전자부품 제조업,이동통신안테나및유전체필터류등,6,6066.0,11200.0,79880.4,11489.53,613.22,2.59,9.83,18.71,3.09,0.26
10,007810,코리아써키트,전자부품 제조업,"인쇄회로기판,Module 제조/부동산(건물) 임대",6,3827.0,16200.0,105884.56,11737.76,553.61,-27.54,8.62,0.21,-10.23,6.55
11,012450,한화에어로스페이스,"항공기,우주선 및 부품 제조업","항공기엔진,특수방산장비 제조/정비사업",1,12303.0,24300.0,149034.31,39292.57,513.31,61.7,4.33,5.45,1.42,-2.14
12,017960,한국카본,"구조용 금속제품, 탱크 및 증기발생기 제조업","탄소섬유(카본프리프레그(낚시대,테니스라켓,골프 Shaft,스포츠레저용품)),합성수지,글라스페이퍼,LNG선박용 단열판넬 제조,도매",6,3666.0,8340.0,50502.15,7365.76,505.54,-11.68,10.94,5.74,-0.97,0.24
13,064960,S&T모티브,자동차 신품 부품 제조업,"자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매",6,6566.0,44900.0,267744.35,56167.97,496.31,25.1,9.55,0.33,7.77,8.12
14,009150,삼성전기,전자부품 제조업,"영상,음향,통신장비,모듈,다층인쇄회로기판,적층세라믹콘덴서,고주파필터,전압제어발진기,온도보상형수정발진기,칩인덕터,디지털위성방송수신기,광픽업,편향코일",6,104945.0,140500.0,810061.25,113826.99,476.56,-18.98,8.52,10.18,14.5,3.82
15,139670,키네마스터,소프트웨어 개발 및 공급업,"NexMFW, NexPlayer EMB",6,1781.0,13150.0,69546.75,0.0,428.87,-100.0,29.53,0.5,-24.32,-27.29
16,096530,씨젠,의료용품 및 기타 의약 관련제품 제조업,"호흡기성 병원체 검사제품, 성감염증원인균 검사제품",6,68313.0,260400.0,1302323.91,130350.73,400.12,-49.94,101.82,19.01,8.76,2.52
17,082640,동양생명,보험업,생명보험,0,4825.0,2990.0,14766.72,6887.36,393.87,130.35,3.65,4.73,2.15,8.99
18,001120,LG상사,상품 중개업,"전자,기계,화공,유류.금속,의류 수출입,도소매",0,5853.0,15100.0,74173.39,26663.04,391.21,76.58,22.28,2.48,-6.06,4.93
19,200710,에이디테크놀로지,반도체 제조업,주문형 반도체,6,4090.0,32800.0,149904.41,0.0,357.03,-100.0,30.51,15.31,19.36,0.47
20,001740,SK네트웍스,기타 전문 도매업,"종합무역업(전자전기제품,섬유,에너지화학제품,철강금속제품),의류,수입산합판,MDF판매,정보통신사업,에너지유통사업",0,12633.0,5090.0,22495.44,5669.69,341.95,11.39,5.97,-5.85,0.31,1.39
