,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,매수,매도_1st,매도_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Average_ROE_Price,Return_rate(Ave_ROE)
0,012630,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",5,5801.0,9710.0,43706.0,46980.0,58607.0,4.5,6.04,11.67,12.58,38.82,14.36,0,104247.0,10.74
1,001120,LG상사,상품 중개업,"전자,기계,화공,유류.금속,의류 수출입,도소매",0,5853.0,15100.0,44220.0,54019.0,88814.0,2.93,5.88,22.28,2.48,-6.06,4.93,0,161.0,0.01
2,035890,서희건설,건물 건설업,"토목, 건축, 부동산임대업",1,2299.0,1110.0,2812.0,3496.0,5923.0,2.53,5.34,24.35,18.62,13.22,13.36,0,3785.0,3.41
3,175330,JB금융지주,기타 금융업,금융지주 회사,0,9061.0,4600.0,18496.0,18980.0,20701.0,4.02,4.5,9.09,10.36,8.69,7.86,1,21183.0,4.61
4,140290,청광건설,토목 건설업,"관도급, BTL, 자체사업",0,84.0,796.0,2798.0,2943.0,3459.0,3.51,4.35,10.41,6.45,0.0,0.0,0,1050.0,1.32
5,123890,한국자산신탁,신탁업 및 집합투자업,"부동산 신탁 서비스, REITs",6,3471.0,2800.0,6744.0,7752.0,11331.0,2.41,4.05,16.42,14.28,18.52,27.12,0,12376.0,4.42
6,139130,DGB금융지주,기타 금융업,지주회사,0,8711.0,5150.0,25837.0,24735.0,20820.0,5.02,4.04,5.98,7.31,9.25,7.97,0,28085.0,5.45
7,014790,한라,토목 건설업,"토목,건축,전기,환경사업,준설공사,포장공사,주택,중기임대",0,1353.0,3480.0,8445.0,9614.0,13767.0,2.43,3.96,15.65,0.97,-3.82,12.8,0,931.0,0.27
8,084010,대한제강,1차 철강 제조업,"제강,철재,철근,환봉,마환봉,빌레트 제조",6,1587.0,6440.0,21929.0,22387.0,24015.0,3.41,3.73,8.83,6.73,-3.83,6.86,0,8059.0,1.25
9,138930,BNK금융지주,기타 금융업,금융지주회사,0,16753.0,5140.0,24001.0,22842.0,18727.0,4.67,3.64,5.75,7.07,6.84,5.83,1,22001.0,4.28
10,017940,E1,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",0,2603.0,37950.0,159545.0,154455.0,136377.0,4.2,3.59,6.43,-3.63,6.47,7.39,0,34092.0,0.9
11,034830,한국토지신탁,신탁업 및 집합투자업,부동산신탁 등,6,4330.0,1715.0,4309.0,4696.0,6072.0,2.51,3.54,12.54,12.72,21.75,25.66,0,8184.0,4.77
12,023890,한국아트라스비엑스,일차전지 및 축전지 제조업,축전지,6,4182.0,45700.0,110153.0,120444.0,156989.0,2.41,3.44,12.75,15.6,17.32,17.6,0,145991.0,3.19
13,003540,대신증권,금융 지원 서비스업,"유가증권 위탁매매,인수주선,자기매매 기타 금융서비스",0,5255.0,10350.0,47366.0,44596.0,34759.0,4.58,3.36,5.34,4.79,7.34,6.36,0,19146.0,1.85
14,003070,코오롱글로벌,토목 건설업,"토목공사,일반건설,주택건설,해외건설,소각로설비공사/환경플랜트,폐처리기 제조",0,2647.0,10500.0,22325.0,25180.0,35318.0,2.13,3.36,14.93,10.74,3.59,3.38,1,16683.0,1.59
15,005960,동부건설,토목 건설업,"건축공사,토목공사,전기공사,기계설비공사/비금속,철구조물 제조,판매/여객,자동차 운송,항만하역",4,2450.0,11200.0,22812.0,26056.0,37578.0,2.04,3.36,15.91,15.29,22.21,34.56,0,50670.0,4.52
16,001500,현대차증권,금융 지원 서비스업,"유가증권의매매,위탁매매,유가증권의 중개,대리/부동산 임대",0,2734.0,9320.0,33079.0,32596.0,30880.0,3.55,3.31,7.18,7.93,6.06,6.04,1,22763.0,2.44
17,018670,SK가스,기타 전문 도매업,"액화석유가스,가스기기 판매,수입,저장",1,7938.0,86000.0,207074.0,223059.0,279825.0,2.41,3.25,11.8,9.85,3.9,7.08,0,170822.0,1.99
18,000210,대림산업,토목 건설업,"산업플랜트공사,건축,토목,폴리에틸렌,폴리부텐,각종폴리머 제조,기술용역",3,29128.0,83700.0,193164.0,210205.0,270716.0,2.31,3.23,12.44,11.74,12.37,10.14,0,229218.0,2.74
19,086790,하나금융지주,기타 금융업,기타 금융,0,88571.0,29500.0,96101.0,95828.0,94862.0,3.26,3.22,7.71,8.77,8.88,8.79,0,106385.0,3.61
20,120110,코오롱인더,화학섬유 제조업,"산업자재, 화학, 필름",0,9092.0,33700.0,81975.0,87458.0,106930.0,2.43,3.17,11.22,1.58,3.04,6.49,0,24937.0,0.74
21,004150,한솔홀딩스,기타 금융업,"지주회사,경영자문컨설팅",2,1369.0,3260.0,10308.0,10292.0,10237.0,3.16,3.14,7.77,6.0,-8.9,-11.11,1,-2309.0,-0.71
22,002990,금호산업,건물 건설업,"종합건설/여객운송,관광/부동산 임대,분양",0,2498.0,6820.0,12885.0,14625.0,20802.0,1.89,3.05,15.41,3.2,-0.13,27.07,0,8242.0,1.21
23,024110,기업은행,은행 및 저축기관,은행업,0,54862.0,8110.0,29207.0,28095.0,24144.0,3.6,2.98,6.17,7.36,8.62,7.98,0,33753.0,4.16
24,316140,우리금융지주,기타 금융업,금융지주,4,61393.0,8500.0,28755.0,27979.0,25223.0,3.38,2.97,6.64,0.0,0.0,0.0,0,0.0,0.0
25,088350,한화생명,보험업,생명보험,0,12724.0,1465.0,14040.0,11892.0,4264.0,9.58,2.91,1.98,0.87,4.22,6.54,0,5860.0,4.0
26,023590,다우기술,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","인터넷솔루션 개발,도매,IT컨설팅,시스템 설계,자문,인터넷관련서비스/부동산분양,개발,임대",1,9310.0,20750.0,37432.0,42381.0,59954.0,1.8,2.89,15.22,14.61,9.78,11.53,0,47760.0,2.3
27,083550,케이엠,기타 섬유제품 제조업,클린룸용Wiper,6,1959.0,19050.0,18990.0,26656.0,53878.0,1.0,2.83,47.76,8.15,6.07,6.14,0,7651.0,0.4
28,294870,HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",5,14302.0,21700.0,40016.0,44664.0,61166.0,1.84,2.82,14.16,20.3,0.0,0.0,0,65780.0,3.03
29,008560,메리츠증권,금융 지원 서비스업,"유가증권의 위탁매매,자기매매,인수공모주선업무",0,20820.0,3080.0,6751.0,7172.0,8666.0,2.19,2.81,10.97,15.06,13.0,13.79,0,10312.0,3.35
30,105560,KB금융,기타 금융업,-,0,146572.0,35250.0,98841.0,98798.0,98645.0,2.8,2.8,7.82,8.92,8.78,10.18,0,110535.0,3.14
31,089470,HDC현대EP,기타 화학제품 제조업,"합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매",5,1314.0,4120.0,10139.0,10389.0,11274.0,2.46,2.74,9.01,4.66,3.02,11.39,0,6347.0,1.54
