,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,EPS*ROE,Return_Rate,ROE_20,ROE_19,roe_past_2,roe_past_3,영업이익 - 20E,그룹,Est.시가총액(억),Est / 현재 (%)
0,140290,청광건설,토목 건설업,"관도급, BTL, 자체사업",0,84.0,796.0,291480.0,3.66,10.41,6.45,0.0,0.0,119.0,10,1190.0,1317.0
1,000150,두산,회사 본부 및 경영 컨설팅 서비스업,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등",0,7849.0,47500.0,0.0,0.0,-4.95,23.52,-5.21,1.67,9525.0,10,95250.0,1114.0
2,253840,수젠텍,의료용품 및 기타 의약 관련제품 제조업,체외진단 기기 및 시약,5,7106.0,52000.0,257392278.0,49.5,163.02,-48.09,-254.51,-66.48,2795.0,20,55900.0,687.0
3,014790,한라,토목 건설업,"토목,건축,전기,환경사업,준설공사,포장공사,주택,중기임대",0,1353.0,3480.0,1303645.0,3.75,15.65,0.97,-3.82,12.8,955.0,10,9550.0,606.0
4,012630,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",5,5801.0,9710.0,5194317.0,5.35,11.67,12.58,38.82,14.36,4020.0,10,40200.0,593.0
5,000880,한화,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",0,19040.0,25400.0,1524920.0,0.6,5.69,2.09,10.73,9.06,13156.0,10,131560.0,591.0
6,035890,서희건설,건물 건설업,"토목, 건축, 부동산임대업",1,2299.0,1110.0,1073835.0,9.67,24.35,18.62,13.22,13.36,1494.0,10,14940.0,550.0
7,298020,효성티앤씨,화학섬유 제조업,"섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등",3,4912.0,113500.0,53484432.0,4.71,20.64,20.86,0.0,0.0,3022.0,10,30220.0,515.0
8,001040,CJ,기타 금융업,지주회사,0,24042.0,82400.0,7970940.0,0.97,7.83,6.24,6.91,12.1,14203.0,10,142030.0,491.0
9,017940,E1,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",0,2603.0,37950.0,6880100.0,1.81,6.43,-3.63,6.47,7.39,1475.0,10,14750.0,467.0
10,003070,코오롱글로벌,토목 건설업,"토목공사,일반건설,주택건설,해외건설,소각로설비공사/환경플랜트,폐처리기 제조",0,2647.0,10500.0,4356574.0,4.15,14.93,10.74,3.59,3.38,1438.0,10,14380.0,443.0
11,036460,한국가스공사,연료용 가스 제조 및 배관공급업,"액화천연가스 공급,제조,도매,개발",0,23401.0,25350.0,979440.0,0.39,3.36,0.48,6.36,-14.03,12579.0,10,125790.0,438.0
12,003380,하림지주,기타 금융업,지주사업,0,6159.0,6670.0,154550.0,0.23,2.81,3.24,6.36,14.34,3310.0,10,33100.0,437.0
13,023590,다우기술,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","인터넷솔루션 개발,도매,IT컨설팅,시스템 설계,자문,인터넷관련서비스/부동산분양,개발,임대",1,9310.0,20750.0,6899226.0,3.32,15.22,14.61,9.78,11.53,4792.0,10,47920.0,415.00000000000006
14,175330,JB금융지주,기타 금융업,금융지주 회사,0,9061.0,4600.0,1509849.0,3.28,9.09,10.36,8.69,7.86,4658.0,10,46580.0,413.99999999999994
15,139130,DGB금융지주,기타 금융업,지주회사,0,8711.0,5150.0,1007032.0,1.96,5.98,7.31,9.25,7.97,4398.0,10,43980.0,405.0
16,016450,한세예스24홀딩스,봉제의복 제조업,"의류(니트) 제조,도소매,원단 제조,부동산 임대",0,1572.0,3930.0,79919.0,0.2,3.43,7.58,-5.83,11.52,765.0,10,7650.0,387.0
17,040910,아이씨디,특수 목적용 기계 제조업,"건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입",6,2768.0,15550.0,8240542.0,5.3,29.42,8.01,22.47,19.84,637.0,20,12740.0,360.0
18,007980,태평양물산,봉제의복 제조업,"봉제의류(자켓,파카,코트),침구 제조,우모가공,생활용품 도소매,무역",0,850.0,1765.0,42656.0,0.24,3.44,6.99,7.14,7.86,385.0,10,3850.0,353.0
19,078930,GS,기타 금융업,지주회사/부동산 임대,2,32520.0,35000.0,1022532.0,0.29,3.29,6.26,11.14,13.42,14602.0,10,146020.0,349.0
20,123890,한국자산신탁,신탁업 및 집합투자업,"부동산 신탁 서비스, REITs",6,3471.0,2800.0,1553332.0,5.55,16.42,14.28,18.52,27.12,1542.0,10,15420.0,344.0
21,138930,BNK금융지주,기타 금융업,금융지주회사,0,16753.0,5140.0,863075.0,1.68,5.75,7.07,6.84,5.83,7268.0,10,72680.0,334.0
22,025000,KPX케미칼,기초 화학물질 제조업,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매",6,2173.0,44900.0,5464680.0,1.22,7.44,9.04,2.54,6.19,454.0,20,9080.0,318.0
