,Code,Name,Industry,Main_product,영업활동&현금_202003,영업활동&현금_201912,영업활동&현금_201812,영업활동&현금_201712
0,000020,동화약품,의약품 제조업,"의약품 제조,판매,수출입",227.0,133.0,-44.0,-165.0
1,000040,KR모터스,그외 기타 운송장비 제조업,"이륜차(오토바이) 제조,도매",66.0,-71.0,-134.0,-47.0
2,000050,경방,종합 소매업,"섬유류(면사,면혼방사,면직물,면혼방직물,화섬사,화섬직물) 제조,도매,수출입",157.0,669.0,121.0,577.0
3,000060,메리츠화재,보험업,"손해보험(화재,해상,운송보험)",-3477.0,10261.0,13225.0,22754.0
4,000070,삼양홀딩스,기타 금융업,"지주회사,경영자문컨설팅",3.0,2189.0,875.0,-219.0
5,000080,하이트진로,알코올음료 제조업,소주,1230.0,283.0,1410.0,3449.0
6,000100,유한양행,의약품 제조업,"의약품(삐콤씨,알마겔,세파졸린주사,아코텍스주사,이세파신,신생아호흡곤란치료제 등),생활용품(유한락스,비누,홈키파),식혜 도매",356.0,660.0,935.0,1261.0
7,000120,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",-1599.0,8492.0,618.0,2464.0
8,000140,하이트진로홀딩스,기타 금융업,지주회사,1183.0,136.0,1245.0,3318.0
9,000150,두산,회사 본부 및 경영 컨설팅 서비스업,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등",-2142.0,7842.0,10219.0,6770.0
10,000180,성창기업지주,회사 본부 및 경영 컨설팅 서비스업,"합판, 마루, 파티클보드, 우드칩, 포르말린 등 제조",75.0,87.0,-1.0,67.0
11,000210,대림산업,토목 건설업,"산업플랜트공사,건축,토목,폴리에틸렌,폴리부텐,각종폴리머 제조,기술용역",6589.0,9522.0,11045.0,4376.0
12,000220,유유제약,의약품 제조업,"의약품 제조,판매",-1.0,132.0,61.0,13.0
13,000230,일동홀딩스,의약품 제조업,"의약품 제조,도매",-28.0,143.0,62.0,-22.0
14,000240,한국테크놀로지그룹,기타 금융업,"고무타이어,고무튜브,후랩,알루미늄휠의 제조,판매,임대수익,물품운반용기,포장용기(프라스틱)",412.0,948.0,609.0,1229.0
15,000250,삼천당제약,의약품 제조업,"세프메타졸, 파클캅셀, 네틸마이신",4.0,306.0,250.0,261.0
16,000270,기아자동차,자동차용 엔진 및 자동차 제조업,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",9303.0,36107.0,44708.0,25942.0
17,000300,대유플러스,통신 및 방송 장비 제조업,"유,무선 통신장비",61.0,128.0,588.0,-69.0
18,000320,노루홀딩스,기타 금융업,지주사업,-139.0,574.0,74.0,307.0
19,000370,한화손해보험,보험업,손해보험,3706.0,18711.0,7107.0,9386.0
20,000390,삼화페인트공업,기타 화학제품 제조업,"건축용페인트,공업용페인트,분체도료 등 제조",-80.0,258.0,95.0,293.0
21,000400,롯데손해보험,보험업,손해보험업,2162.0,-1201.0,4226.0,1981.0
22,000430,대원강업,자동차 신품 부품 제조업,"차량용스프링,기계부속,시트,타이어체인,합성수지제품,철도용스파이크 제조,도매",105.0,62.0,1199.0,933.0
23,000440,중앙에너비스,기타 전문 도매업,석유류도소매,22.0,10.0,21.0,18.0
24,000480,조선내화,"내화, 비내화 요업제품 제조업","내화연와(정형,부정형,S/N,CCN),단열벽돌,스라이딩노즐,연주용 특수내화물 제조",259.0,800.0,604.0,284.0
25,000490,대동공업,특수 목적용 기계 제조업,"경운기,트랙터,이앙기,바인더,수확기(콤바인),농업용엔진 및 부품 제조,판매",-455.0,729.0,39.0,106.0
26,000500,가온전선,절연선 및 케이블 제조업,"전력선,통신케이블 제조,도매,수출입",333.0,-105.0,276.0,-152.0
27,000520,삼일제약,의약품 제조업,"양약(부루펜,액티피드,포리부틴) 제조,도매",42.0,106.0,-26.0,38.0
28,000540,흥국화재,보험업,손해보험,2484.0,8127.0,9235.0,9946.0
29,000590,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당",19.0,193.0,102.0,169.0
30,000640,동아쏘시오홀딩스,기타 금융업,"의약품(피로회복제/박카스,병원용의약품),비의약품(의료기기,염모제,가글제) 제조,도소매/화장품 생산",10.0,968.0,583.0,845.0
31,000650,천일고속,육상 여객 운송업,"고속버스운수(경부선,44개 노선),도로여객운수업,운수창고업,유류판매,부동산 임대",-30.0,60.0,-35.0,-21.0
32,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",23315.0,64832.0,222272.0,146906.0
33,000670,영풍,1차 비철금속 제조업,"제1차 금속산업(아연괴,황산,카드뮴괴),건전지 제조,무역",1063.0,2069.0,1190.0,1838.0
34,000680,LS네트웍스,상품 종합 도매업,"혁화,의류,등산용품 도매,제조/부동산 임대",-80.0,-224.0,90.0,187.0
35,000700,유수홀딩스,회사 본부 및 경영 컨설팅 서비스업,지주사업,39.0,316.0,43.0,287.0
36,000720,현대건설,토목 건설업,"공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스",10704.0,4789.0,2495.0,5144.0
37,000760,이화산업,기타 전문 도매업,"염료(반응성염료,분산염료,범용염료,직접염료,산성염료),염료화성품,합성수지,고무 도매,제조",1.0,26.0,1.0,-29.0
38,000810,삼성화재해상보험,보험업,"손해보험의 원수,재보험,운용자산의 투자활동",2509.0,9099.0,21262.0,25948.0
39,000850,화천기공,특수 목적용 기계 제조업,"CNC선반,CNC밀링,연마기(금속공작기계),MC공작기계,COPY밀링기계,주방품 제조,도매",45.0,178.0,90.0,61.0
40,000860,강남제비스코,기타 화학제품 제조업,"도료(페인트,락카,신나,에나멜,바니쉬),안료 제조,판매",-29.0,112.0,103.0,254.0
41,000880,한화,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",-4745.0,25179.0,27492.0,51385.0
42,000890,보해양조,알코올음료 제조업,"주류(소주,매취,실비우스,위스키) 제조,음료 도매",4.0,48.0,-21.0,7.0
43,000910,유니온,"시멘트, 석회, 플라스터 및 그 제품 제조업","백시멘트,타일시멘트,알루미나시멘트,용융알루미나,급결제,필터프레스,유니필터제조,도매",28.0,163.0,-45.0,122.0
44,000950,전방,방적 및 가공사 제조업,"면사,면혼방사,마혼방사,화섬사,염색사,자수사,소모사,면직물,면혼방직물,화섬직물,특수가공직물 제조,판매,수출",-66.0,-89.0,-122.0,-115.0
45,000970,한국주철관공업,1차 철강 제조업,"수도용주철관,강관 제조",76.0,0.0,0.0,0.0
46,000990,DB하이텍,반도체 제조업,반도체 제조,548.0,1611.0,1803.0,1831.0
47,001000,신라섬유,가전제품 및 정보통신장비 소매업,부동산,7.0,10.0,10.0,11.0
48,001020,페이퍼코리아,"펄프, 종이 및 판지 제조업","제지(신문용지,중질지),합판 제조,건설,석유류 판매",69.0,-130.0,-198.0,-27.0
49,001040,CJ,기타 금융업,지주회사,-441.0,38646.0,15411.0,22404.0
50,001060,JW중외제약,의약품 제조업,"수액제,소화기궤양치료제,항생제,항암제 제조,도매",24.0,555.0,521.0,335.0
51,001070,대한방직,직물직조 및 직물제품 제조업,"면사,화섬사,면직물 제조,판매,건설",11.0,-193.0,-187.0,31.0
52,001080,만호제강,1차 철강 제조업,"와이어로프,합성섬유로프,특수강선 제조,수출,임대",80.0,0.0,0.0,0.0
53,001120,LG상사,상품 중개업,"전자,기계,화공,유류.금속,의류 수출입,도소매",-290.0,2250.0,308.0,1806.0
54,001130,대한제분,"곡물가공품, 전분 및 전분제품 제조업","소맥분,토코밀,프리믹스,밀가루조제품,제분부산물 제조/파스타 수입,판매",-129.0,33.0,126.0,434.0
55,001140,국보,도로 화물 운송업,"화물자동차운송,콘테이너운송,수출입화물보관,도로운송,CY보관,하역",-11.0,-99.0,-61.0,-31.0
56,001200,유진증권,금융 지원 서비스업,"유가증권 매매,중개,인수",-1730.0,-3402.0,4492.0,-2699.0
57,001210,금호전기,전구 및 조명장치 제조업,"형광등,백열전구,전구식현광등,실드빔(차량용전조) 제조,판매",-95.0,-85.0,-22.0,142.0
58,001230,동국제강,1차 철강 제조업,"후판,철근,강판,형강,앵글,찬넬,평철 제조,판매",2492.0,2135.0,2294.0,902.0
59,001250,GS글로벌,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대",-340.0,332.0,-103.0,818.0
60,001260,남광토건,토목 건설업,"토목공사,건축공사,기전공사,측량설계시공,용역/철구조물 제조",307.0,-18.0,50.0,13.0
61,001270,부국증권,금융 지원 서비스업,"유가증권 매매,위탁매매,인수,주선",-12488.0,643.0,5.0,-2592.0
62,001290,상상인증권,금융 지원 서비스업,유가증권 매매,-118.0,149.0,1491.0,-1131.0
63,001340,백광산업,기초 화학물질 제조업,"가성소다,합성염산 제조,판매",48.0,305.0,351.0,163.0
64,001360,삼성제약,의약품 제조업,"의약품(까스명수,쓸기담,에프킬라에어졸,액체우황청심원) 제조,도매",3.0,-24.0,-65.0,6.0
65,001380,SG충방,자동차 신품 부품 제조업,"자동차시트커버(Seat Trim Cover), 면사, 면ㆍ혼방사 등의 제조 및 판매",-47.0,159.0,35.0,106.0
66,001390,KG케미칼,기초 화학물질 제조업,"콘크리트혼화제, 비료, 친환경농자재, 수처리제",-573.0,1467.0,585.0,1895.0
67,001420,태원물산,자동차 신품 부품 제조업,"자동차부품,워터펌프,인산정제석고,건축자재(불연내장재), 제조,수출입",2.0,15.0,9.0,-7.0
68,001430,세아베스틸,1차 철강 제조업,"특수강,철도용품,자동차부품 제조,수출입",985.0,3234.0,880.0,2219.0
69,001440,대한전선,절연선 및 케이블 제조업,"전력선,통신케이블,적산계기,스텐레스압연제품,광케이블,초고압선,알루미늄 제조,도매/전기공사",-447.0,792.0,144.0,319.0
70,001450,현대해상,보험업,손해보험(자동차보험),6742.0,13636.0,18983.0,17334.0
71,001460,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",-6.0,187.0,491.0,235.0
72,001470,삼부토건,토목 건설업,"토목공사,건축공사,포장공사,건설업,분양사업/건설자재 제조",165.0,-103.0,-178.0,37.0
73,001500,현대차증권,금융 지원 서비스업,"유가증권의매매,위탁매매,유가증권의 중개,대리/부동산 임대",-10111.0,-551.0,-486.0,-69.0
74,001510,SK증권,금융 지원 서비스업,"증권업,부동산 임대",-7882.0,-1992.0,-2353.0,-81.0
75,001520,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘/건설공사/산업용 송풍기,93.0,297.0,238.0,-78.0
76,001530,디아이동일,상품 중개업,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",-106.0,579.0,296.0,355.0
77,001540,안국약품,의약품 제조업,"그랑파제, 토비콤-S",37.0,221.0,-12.0,175.0
78,001550,조비,"비료, 농약 및 살균, 살충제 제조업","복합비료(연초용,수도용,시판용,특수작물용),양액재배용 비료,완효성 비료,부직포 제조,무역",-83.0,-25.0,39.0,65.0
79,001560,제일연마,기타 비금속 광물제품 제조업,"연마석,다이아몬드공구 제조,도소매/주택건설",36.0,69.0,57.0,62.0
80,001570,금양,기초 화학물질 제조업,"발포제,사카린,OPTSA,베나졸,TCA 제조",-90.0,-6.0,174.0,-221.0
81,001620,케이비아이동국실업,자동차 신품 부품 제조업,"자동차부품(에어닥트,글로벌박스,노즐,어셈블리류,핸들류) 제조,판매/공장 임대",-70.0,426.0,507.0,713.0
82,001630,종근당홀딩스,의약품 제조업,"의약품(항생제,위궤양치료제,장기이식면역억제제,고지혈증치료제(로바이드)) 제조,도매",183.0,1113.0,379.0,578.0
83,001680,대상,기타 식품 제조업,"전분,라이신,물엿,과당,포도당,MSG및 사료,조미료,항생제,핵산,커피 제조,도매/토목공사,건축공사",130.0,1673.0,1216.0,1662.0
84,001720,신영증권,금융 지원 서비스업,증권업,-3069.0,0.0,0.0,0.0
85,001740,SK네트웍스,기타 전문 도매업,"종합무역업(전자전기제품,섬유,에너지화학제품,철강금속제품),의류,수입산합판,MDF판매,정보통신사업,에너지유통사업",-1766.0,4664.0,-1990.0,-6346.0
86,001750,한양증권,금융 지원 서비스업,증권업,-427.0,-169.0,-449.0,-27.0
87,001770,신화실업,1차 철강 제조업,"석도강판,표면처리강판 제조,임가공,판매",-22.0,25.0,61.0,19.0
88,001780,알루코,1차 비철금속 제조업,"알루미늄제품,샷시 제조",213.0,479.0,736.0,1092.0
89,001790,대한제당,"곡물가공품, 전분 및 전분제품 제조업","제당,가축용 배합사료,설탕,기능성감미료(자일로올리고당),외식산 제조,도소매/부동산 임대",-158.0,85.0,126.0,105.0
90,001800,오리온홀딩스,기타 금융업,자회사 관리 지주사업 등,806.0,3426.0,3505.0,-88.0
91,001810,무림SP,"펄프, 종이 및 판지 제조업","아트지,CCP지",28.0,74.0,-96.0,83.0
92,001820,삼화콘덴서공업,전자부품 제조업,콘덴서(축전기) 제조,72.0,261.0,609.0,207.0
93,001840,이화공영,건물 건설업,도급공사,42.0,-84.0,-36.0,156.0
94,001880,대림건설,건물 건설업,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매",614.0,1263.0,871.0,583.0
95,001940,KISCO홀딩스,1차 철강 제조업,지주사업,24.0,675.0,774.0,1506.0
96,002020,코오롱,기타 금융업,지주회사,1450.0,1673.0,273.0,562.0
97,002030,아세아,회사 본부 및 경영 컨설팅 서비스업,"회사본부,지주회사 및 경영컨설팅 서비스업",167.0,2255.0,2371.0,373.0
98,002070,남영비비안,봉제의복 제조업,"여성내의류(스타킹,화운데이숀,란제리),카바링사 제조,수출입/부동산 매매,임대",-38.0,133.0,8.0,-39.0
99,002100,경농,"비료, 농약 및 살균, 살충제 제조업","완제농약(잡초약,살충제,살균제) 제조",-278.0,-10.0,106.0,158.0
100,002140,고려산업,"곡물가공품, 전분 및 전분제품 제조업","배합사료,플라스틱용기 제조/부동산 임대",-37.0,104.0,-57.0,10.0
101,002150,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,종합감리전문업,종합기술용역,엔지니어링",391.0,287.0,115.0,0.0
102,002170,삼양통상,"가죽, 가방 및 유사제품 제조업","피혁원단,혁제운동화,혁제장갑,혁제스포츠용품 제조,상품중개,무역",71.0,522.0,427.0,327.0
103,002200,한국수출포장공업,"골판지, 종이 상자 및 종이용기 제조업","골판지상자,골판지원지 제조,판매",130.0,322.0,420.0,-78.0
104,002210,동성제약,의약품 제조업,"의약품,화장품 제조,도매",9.0,-83.0,17.0,16.0
105,002220,한일철강,1차 철강 제조업,"강관류,철판류,금속관류,건축자재,자동차부품 제조,도매",40.0,29.0,41.0,38.0
106,002230,피에스텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",자동차부품,-3.0,-6.0,32.0,51.0
107,002240,고려제강,1차 철강 제조업,"PC강선,선재 2차제품,와이어로프,비드와이어,SC(Surpass Coat) Stand,각종선재 제조,도매",258.0,818.0,1240.0,1140.0
108,002270,롯데푸드,낙농제품 및 식용빙과류 제조업,"빙과,유지,식품 제조",118.0,476.0,968.0,908.0
109,002290,삼일기업공사,건물 건설업,도급공사,3.0,131.0,-22.0,-56.0
110,002310,아세아제지,"골판지, 종이 상자 및 종이용기 제조업","골판지원지,석고보드원지,크라프트원지,라이나원지,라이너지 제조,판매",222.0,1104.0,1462.0,-2.0
111,002320,한진,도로 화물 운송업,"포장화물,택배산업,항만하역,고속버스사업,운수보관",718.0,1672.0,1161.0,319.0
112,002350,넥센타이어,고무제품 제조업,"타이어,후랩,고무제타이어(승용자동차용,래디알구조) 제조",19.0,2915.0,1570.0,2551.0
113,002360,SH에너지화학,기초 화학물질 제조업,"합성수지(PS/EPS,ABS수지) 제조",42.0,161.0,52.0,142.0
114,002380,케이씨씨,기타 화학제품 제조업,"건축용단열재,내외장재,스레트,밤라이트,암면,석고보드,판유리 제조",972.0,2748.0,5390.0,3329.0
115,002390,한독,의약품 제조업,"의약품(소화제,크라포란,라식스)제조,도매,부동산 임대",88.0,295.0,68.0,0.0
116,002410,범양건영,건물 건설업,"토목공사,주택건설,건축공사,난방공사,전기공사,포장공사",-162.0,90.0,229.0,35.0
117,002420,세기상사,"영화, 비디오물, 방송프로그램 제작 및 배급업","극장(영화상영)/극영화,만화영화 제조/음식료품,일용잡화 소매/부동산 임대",-1.0,-5.0,-2.0,-4.0
118,002450,삼익악기,악기 제조업,"피아노,기타,현악기,전자악기,동 부분품 제조,임대,도매",76.0,55.0,-151.0,52.0
119,002460,화성산업,건물 건설업,아파트 건설,352.0,453.0,1266.0,-675.0
120,002600,조흥,기타 식품 제조업,"휘핑크림,인스턴트이스트,프루츠칵테일,크림치즈,견과류,건조과일 제조,판매/주택 신축,판매",-79.0,31.0,132.0,90.0
121,002620,제일파마홀딩스,회사 본부 및 경영 컨설팅 서비스업,"의약품(타리비드,제일파프,노엘,푸라솔) 제조,도매",-40.0,252.0,-34.0,59.0
122,002630,오리엔트바이오,의약품 제조업,의약품 제조,-47.0,0.0,0.0,0.0
123,002680,한탑,"곡물가공품, 전분 및 전분제품 제조업","소맥분(밀가루),배합사료",-44.0,-22.0,-52.0,34.0
124,002690,동일제강,1차 철강 제조업,"PC강연선, 경강선, 도금선, 마봉강",24.0,77.0,4.0,6.0
125,002700,신일전자,기계장비 및 관련 물품 도매업,"가정용 전기기구(선풍기,난로,세탁기),전자기구,연구기구 제조,수출입",-11.0,-61.0,99.0,88.0
126,002710,TCC스틸,1차 철강 제조업,"석도강판,표면처리강판 제조,판매",-128.0,-67.0,214.0,-12.0
127,002720,국제약품,의약품 제조업,"항생제,안약,제약 제조,도매",74.0,36.0,132.0,8.0
