,Code,Name,Industry,Main_product,부채비율,시가총액_억,ROE_20(e),ROE_19,roe_past_2,roe_past_3,ROE_Improve,Cash_2020(e),Cash_2019,Cash_2018,Cash_2017
0,000020,동화약품,의약품 제조업,"의약품 제조,판매,수출입",6,5921.0,0.0,3.14,3.39,17.1,0,-990.0,0,0,0
1,000040,KR모터스,그외 기타 운송장비 제조업,"이륜차(오토바이) 제조,도매",2,647.0,0.0,-113.29,-49.31,-61.25,0,-282.0,0,0,0
2,000050,경방,종합 소매업,"섬유류(면사,면혼방사,면직물,면혼방직물,화섬사,화섬직물) 제조,도매,수출입",6,3249.0,0.0,6.01,2.87,3.67,0,3462.0,0,0,0
3,000060,메리츠화재,보험업,"손해보험(화재,해상,운송보험)",0,15233.0,11.21,12.76,11.55,22.54,0,136524.0,0,0,0
4,000070,삼양홀딩스,기타 금융업,"지주회사,경영자문컨설팅",6,6303.0,0.0,2.18,5.02,2.76,0,-1314.0,0,0,0
5,000080,하이트진로,알코올음료 제조업,소주,0,29000.0,9.66,-3.86,1.87,1.01,0,20694.0,0,0,0
6,000100,유한양행,의약품 제조업,"의약품(삐콤씨,알마겔,세파졸린주사,아코텍스주사,이세파신,신생아호흡곤란치료제 등),생활용품(유한락스,비누,홈키파),식혜 도매",6,42788.0,11.35,2.43,3.55,7.04,0,7566.0,0,0,0
7,000120,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",2,35131.0,3.34,1.41,2.11,1.99,0,14784.0,0,0,0
8,000140,하이트진로홀딩스,기타 금융업,지주회사,1,4827.0,0.0,-4.65,-0.55,-2.8,0,19908.0,0,0,0
9,000150,두산,회사 본부 및 경영 컨설팅 서비스업,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등",0,7584.0,-15.84,23.52,-5.21,1.67,0,40620.0,0,0,0
10,000180,성창기업지주,회사 본부 및 경영 컨설팅 서비스업,"합판, 마루, 파티클보드, 우드칩, 포르말린 등 제조",6,1189.0,0.0,-2.14,-1.6,0.83,0,402.0,0,0,0
11,000210,대림산업,토목 건설업,"산업플랜트공사,건축,토목,폴리에틸렌,폴리부텐,각종폴리머 제조,기술용역",3,30346.0,12.49,11.74,12.37,10.14,0,26256.0,0,0,0
12,000220,유유제약,의약품 제조업,"의약품 제조,판매",4,1122.0,0.0,5.41,4.79,5.71,0,52.0,0,0,0
13,000230,일동홀딩스,의약품 제조업,"의약품 제조,도매",5,1081.0,0.0,-14.91,-2.21,0.05,0,-132.0,0,0,0
14,000240,한국테크놀로지그룹,기타 금융업,"고무타이어,고무튜브,후랩,알루미늄휠의 제조,판매,임대수익,물품운반용기,포장용기(프라스틱)",6,12976.0,3.5,4.71,6.75,8.05,0,7374.0,0,0,0
15,000250,삼천당제약,의약품 제조업,"세프메타졸, 파클캅셀, 네틸마이신",6,12187.0,5.0,6.82,6.04,9.39,0,1566.0,0,0,0
16,000270,기아자동차,자동차용 엔진 및 자동차 제조업,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",6,179981.0,4.9,6.5,4.27,3.62,1,155652.0,0,0,0
17,000300,대유플러스,통신 및 방송 장비 제조업,"유,무선 통신장비",1,691.0,0.0,16.75,3.09,-15.9,1,-414.0,0,0,0
18,000320,노루홀딩스,기타 금융업,지주사업,6,1265.0,0.0,1.25,-2.19,11.67,0,1842.0,0,0,0
19,000370,한화손해보험,보험업,손해보험,1,3496.0,0.0,-4.67,6.29,14.27,0,56316.0,0,0,0
20,000390,삼화페인트공업,기타 화학제품 제조업,"건축용페인트,공업용페인트,분체도료 등 제조",6,1375.0,0.0,1.34,0.26,0.66,0,1758.0,0,0,0
21,000400,롯데손해보험,보험업,손해보험업,1,5307.0,0.0,-6.69,16.44,14.24,0,11886.0,0,0,0
22,000430,대원강업,자동차 신품 부품 제조업,"차량용스프링,기계부속,시트,타이어체인,합성수지제품,철도용스파이크 제조,도매",4,2213.0,0.0,3.39,3.77,4.8,0,5598.0,0,0,0
23,000440,중앙에너비스,기타 전문 도매업,석유류도소매,6,515.0,0.0,1.36,1.97,3.5,0,108.0,0,0,0
24,000480,조선내화,"내화, 비내화 요업제품 제조업","내화연와(정형,부정형,S/N,CCN),단열벽돌,스라이딩노즐,연주용 특수내화물 제조",6,2916.0,0.0,4.13,9.22,2.5,0,1704.0,0,0,0
25,000490,대동공업,특수 목적용 기계 제조업,"경운기,트랙터,이앙기,바인더,수확기(콤바인),농업용엔진 및 부품 제조,판매",1,1642.0,0.0,1.46,0.58,4.54,0,636.0,0,0,0
26,000500,가온전선,절연선 및 케이블 제조업,"전력선,통신케이블 제조,도매,수출입",6,699.0,0.0,2.12,0.04,0.54,0,-912.0,0,0,0
27,000520,삼일제약,의약품 제조업,"양약(부루펜,액티피드,포리부틴) 제조,도매",3,1336.0,0.0,1.33,-15.97,-2.43,0,228.0,0,0,0
28,000540,흥국화재,보험업,손해보험,1,1506.0,0.0,5.51,7.69,14.44,0,59676.0,0,0,0
29,000590,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당",6,690.0,0.0,4.35,2.89,2.74,1,1014.0,0,0,0
30,000640,동아쏘시오홀딩스,기타 금융업,"의약품(피로회복제/박카스,병원용의약품),비의약품(의료기기,염모제,가글제) 제조,도소매/화장품 생산",6,6568.0,3.97,2.67,-19.91,3.64,0,5070.0,0,0,0
31,000650,천일고속,육상 여객 운송업,"고속버스운수(경부선,44개 노선),도로여객운수업,운수창고업,유류판매,부동산 임대",6,915.0,0.0,1.28,-0.38,63.04,0,-126.0,0,0,0
32,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",6,583858.0,8.52,4.25,38.53,36.8,0,881436.0,0,0,0
33,000670,영풍,1차 비철금속 제조업,"제1차 금속산업(아연괴,황산,카드뮴괴),건전지 제조,무역",6,9652.0,0.0,7.4,3.69,8.6,0,11028.0,0,0,0
34,000680,LS네트웍스,상품 종합 도매업,"혁화,의류,등산용품 도매,제조/부동산 임대",6,1797.0,0.0,-11.94,2.59,3.36,0,1122.0,0,0,0
35,000700,유수홀딩스,회사 본부 및 경영 컨설팅 서비스업,지주사업,6,1419.0,0.0,1.83,4.37,-2.11,0,1722.0,0,0,0
36,000720,현대건설,토목 건설업,"공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스",4,40088.0,6.16,6.3,5.99,3.15,1,30864.0,0,0,0
37,000760,이화산업,기타 전문 도매업,"염료(반응성염료,분산염료,범용염료,직접염료,산성염료),염료화성품,합성수지,고무 도매,제조",5,413.0,0.0,-4.35,-1.0,-1.97,0,-145.0,0,0,0
38,000810,삼성화재해상보험,보험업,"손해보험의 원수,재보험,운용자산의 투자활동",0,89538.0,5.37,4.83,8.78,9.16,0,155688.0,0,0,0
39,000850,화천기공,특수 목적용 기계 제조업,"CNC선반,CNC밀링,연마기(금속공작기계),MC공작기계,COPY밀링기계,주방품 제조,도매",6,716.0,0.0,2.55,4.48,3.18,0,366.0,0,0,0
40,000860,강남제비스코,기타 화학제품 제조업,"도료(페인트,락카,신나,에나멜,바니쉬),안료 제조,판매",6,1017.0,0.0,2.8,7.71,4.89,0,1524.0,0,0,0
41,000880,한화,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",0,19827.0,7.4,2.09,10.73,9.06,0,308310.0,0,0,0
42,000890,보해양조,알코올음료 제조업,"주류(소주,매취,실비우스,위스키) 제조,음료 도매",4,1115.0,0.0,-19.66,-32.98,11.48,0,42.0,0,0,0
43,000910,유니온,"시멘트, 석회, 플라스터 및 그 제품 제조업","백시멘트,타일시멘트,알루미나시멘트,용융알루미나,급결제,필터프레스,유니필터제조,도매",5,1553.0,0.0,-14.93,-29.15,3.68,0,732.0,0,0,0
44,000950,전방,방적 및 가공사 제조업,"면사,면혼방사,마혼방사,화섬사,염색사,자수사,소모사,면직물,면혼방직물,화섬직물,특수가공직물 제조,판매,수출",1,465.0,0.0,-38.44,-16.98,-7.76,0,-690.0,0,0,0
45,000990,DB하이텍,반도체 제조업,반도체 제조,4,16383.0,24.02,17.4,17.12,27.62,0,10986.0,0,0,0
46,001000,신라섬유,가전제품 및 정보통신장비 소매업,부동산,3,511.0,0.0,1.59,1.21,2.94,0,66.0,0,0,0
47,001020,페이퍼코리아,"펄프, 종이 및 판지 제조업","제지(신문용지,중질지),합판 제조,건설,석유류 판매",1,608.0,0.0,-136.14,-91.06,-123.19,0,-162.0,0,0,0
48,001040,CJ,기타 금융업,지주회사,0,26026.0,8.64,6.24,6.91,12.1,0,134424.0,0,0,0
49,001060,JW중외제약,의약품 제조업,"수액제,소화기궤양치료제,항생제,항암제 제조,도매",1,7866.0,0.0,-10.31,3.04,-0.27,0,2010.0,0,0,0
