,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,매수,매도_1st,매도_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Average_ROE_Price,Return_rate(Ave_ROE)
0,035890,서희건설,건물 건설업,"토목, 건축, 부동산임대업",2,2247.0,1085.0,3983.0,4821.0,7785.0,3.67,7.18,21.4,21.57,24.3,18.62,0,7736.0,7.13
1,012630,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",6,6691.0,11200.0,52393.0,55095.0,64645.0,4.68,5.77,10.45,11.8,11.67,12.58,0,69987.0,6.25
2,298000,효성화학,기초 화학물질 제조업,-,3,3184.0,99800.0,250445.0,306682.0,505471.0,2.51,5.06,22.68,21.25,4.66,21.37,0,350595.0,3.51
3,175330,JB금융지주,기타 금융업,금융지주 회사,0,8520.0,4325.0,20941.0,21129.0,21793.0,4.84,5.04,8.31,8.78,9.09,10.36,0,23756.0,5.49
4,023890,한국아트라스비엑스,일차전지 및 축전지 제조업,축전지,8,4484.0,49000.0,148507.0,165156.0,224004.0,3.03,4.57,13.98,14.09,12.75,15.6,0,144006.0,2.94
5,002990,금호산업,건물 건설업,"종합건설/여객운송,관광/부동산 임대,분양",0,2685.0,7330.0,18218.0,21400.0,32645.0,2.49,4.45,18.4,16.89,14.02,3.2,1,23819.0,3.25
6,084010,대한제강,1차 철강 제조업,"제강,철재,철근,환봉,마환봉,빌레트 제조",8,1533.0,6220.0,25472.0,25945.0,27616.0,4.1,4.44,8.77,8.94,9.44,6.73,0,25065.0,4.03
7,044450,KSS해운,해상 운송업,"특수화물해상운송(케이컬,액화가스,냉동.냉장화물),선박대여",0,1906.0,8220.0,19924.0,22753.0,32753.0,2.42,3.98,15.98,14.39,8.79,8.79,0,23362.0,2.84
8,047040,대우건설,건물 건설업,"아파트건설,토목공사,건축공사,포장공사,전기공사,무역/중장비 대여",0,12801.0,3080.0,8470.0,9222.0,11878.0,2.75,3.86,12.54,12.24,9.98,8.8,1,10558.0,3.43
9,005960,동부건설,토목 건설업,"건축공사,토목공사,전기공사,기계설비공사/비금속,철구조물 제조,판매/여객,자동차 운송,항만하역",6,2520.0,11100.0,26991.0,30299.0,41995.0,2.43,3.78,14.66,15.06,14.01,15.29,0,41882.0,3.77
10,213500,한솔제지,"펄프, 종이 및 판지 제조업","인쇄용지, 산업용지, 특수지 제조 및 판매",2,3154.0,13250.0,33473.0,36386.0,46683.0,2.53,3.52,12.44,12.04,12.98,6.92,0,43137.0,3.26
11,006360,GS건설,건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",0,20185.0,25200.0,65224.0,69593.0,85037.0,2.59,3.37,11.29,11.26,10.9,11.79,0,84489.0,3.35
12,227840,현대코퍼레이션홀딩스,음·식료품 및 담배 도매업,"브랜드사업, 육류유통",8,909.0,9990.0,26737.0,28060.0,32738.0,2.68,3.28,10.34,10.59,9.72,5.93,1,29064.0,2.91
13,123890,한국자산신탁,신탁업 및 집합투자업,"부동산 신탁 서비스, REITs",8,4314.0,3480.0,7959.0,8673.0,11197.0,2.29,3.22,12.6,13.53,16.31,14.28,0,12977.0,3.73
14,267790,배럴,봉제의복 제조업,래쉬가드 및 워터스포츠 등,8,584.0,7410.0,11582.0,14233.0,23603.0,1.56,3.19,23.09,21.99,10.95,16.33,0,17752.0,2.4
15,253590,네오셈,특수 목적용 기계 제조업,반도체 검사장비,6,1072.0,2855.0,3656.0,4846.0,9052.0,1.28,3.17,34.39,33.88,30.07,-4.94,1,6772.0,2.37
16,053450,세코닉스,사진장비 및 광학기기 제조업,"CCD렌즈, 광PICK-UP렌즈",2,524.0,4440.0,10844.0,11506.0,13845.0,2.44,3.12,10.96,9.68,-13.24,-14.76,1,-2600.0,-0.59
17,000880,한화,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",0,19564.0,26100.0,74633.0,75972.0,80705.0,2.86,3.09,8.74,8.53,7.42,2.09,1,46238.0,1.77
18,298020,효성티앤씨,화학섬유 제조업,"섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등",3,4323.0,99900.0,178094.0,206916.0,308795.0,1.78,3.09,17.42,17.91,7.88,20.86,0,267500.0,2.68
19,000210,대림산업,토목 건설업,"산업플랜트공사,건축,토목,폴리에틸렌,폴리부텐,각종폴리머 제조,기술용역",5,31042.0,89200.0,223994.0,234488.0,271579.0,2.51,3.04,10.2,10.91,12.49,11.74,0,277850.0,3.11
20,057050,현대홈쇼핑,무점포 소매업,TV홈쇼핑 도소매/홈쇼핑프로그램 제작,8,7416.0,61800.0,172159.0,174750.0,183906.0,2.79,2.98,8.6,8.28,7.76,5.03,1,157410.0,2.55
21,063080,게임빌,소프트웨어 개발 및 공급업,모바일게임,8,2153.0,32650.0,60162.0,68296.0,97051.0,1.84,2.97,15.51,14.37,9.23,5.54,1,69097.0,2.12
22,294870,HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",7,14401.0,21850.0,50071.0,53272.0,64585.0,2.29,2.96,11.12,11.45,13.7,20.3,0,79431.0,3.64
23,020760,일진디스플,반도체 제조업,"박막액정표시장치(TFT-LCD) 패널,LT(리튬탄탈에이트)웨이퍼,분말야금제품(초고압용공구),보석다이아몬드 제조,판매/종합건설",3,854.0,3015.0,3131.0,4410.0,8932.0,1.04,2.96,49.16,31.1,-51.8,-46.32,0,-1714.0,-0.57
24,006650,대한유화,기초 화학물질 제조업,"폴리프로필렌,고밀도폴리에틸렌,나프타분해유분,올레핀류,혼합C4류,분해가솔린 제조",8,7410.0,114000.0,327614.0,329442.0,335905.0,2.87,2.95,8.15,8.5,5.86,6.11,0,283319.0,2.49
25,298040,효성중공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-,3,3804.0,40800.0,109041.0,111378.0,119637.0,2.67,2.93,8.91,7.63,0.49,1.45,0,56626.0,1.39
26,036190,금화피에스시,전기 및 통신 공사업,"설비,철물,전기,강구조물",8,1575.0,26250.0,54474.0,59030.0,75133.0,2.08,2.86,12.24,10.88,14.17,12.04,0,73730.0,2.81
27,005880,대한해운,해상 운송업,"외항화물운송,국제해운대리점",0,3835.0,15700.0,41113.0,41748.0,43995.0,2.62,2.8,8.62,7.09,5.16,11.47,0,35736.0,2.28
28,106240,파인테크닉스,통신 및 방송 장비 제조업,"휴대폰부품, 소형LCD부품, LED조명기기",6,1988.0,4580.0,4684.0,6478.0,12818.0,1.02,2.8,43.88,36.21,19.67,0.59,1,7230.0,1.58
29,071050,한국금융지주,기타 금융업,금융지주회사,0,34717.0,62300.0,125047.0,135376.0,171887.0,2.01,2.76,12.18,12.61,11.42,18.14,0,160096.0,2.57
30,005850,에스엘,자동차 신품 부품 제조업,"자동차부품(자동차램프류,샤시와조향기기,케스터홀더) 제조",8,5784.0,12000.0,32524.0,32636.0,33031.0,2.71,2.75,8.05,7.25,4.71,7.25,0,25245.0,2.1
31,011760,현대종합상사,상품 종합 도매업,"자동차,철강,기계,선박,플랜트,컴퓨터,전자제품 수출,수출입대행/자원(탄광,유전) 개발",0,1773.0,13400.0,35309.0,35619.0,36712.0,2.64,2.74,8.3,8.61,8.92,5.07,0,34146.0,2.55
32,007980,태평양물산,봉제의복 제조업,"봉제의류(자켓,파카,코트),침구 제조,우모가공,생활용품 도소매,무역",0,884.0,1835.0,4349.0,4500.0,5033.0,2.37,2.74,9.57,8.2,3.44,6.99,0,3313.0,1.81
33,040910,아이씨디,특수 목적용 기계 제조업,"건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입",8,2710.0,15100.0,19866.0,24525.0,40991.0,1.32,2.71,23.63,25.68,30.61,8.01,0,41511.0,2.75
34,003070,코오롱글로벌,토목 건설업,"토목공사,일반건설,주택건설,해외건설,소각로설비공사/환경플랜트,폐처리기 제조",0,5912.0,23450.0,33571.0,40007.0,62758.0,1.43,2.68,19.78,16.92,15.98,10.74,1,48821.0,2.08
35,039440,에스티아이,특수 목적용 기계 제조업,"Chemical 중앙공급시스템(C.C.S.S), 세정·식각시스템",8,2588.0,16350.0,21152.0,25749.0,41997.0,1.29,2.57,22.01,18.85,15.2,14.59,1,32006.0,1.96
36,006040,동원산업,어로 어업,"원양어업,수산물가공(참치캔,맛김,어묵,맛살),도소매/음료사업(상쾌한아침)",0,7797.0,212000.0,416829.0,444151.0,540730.0,1.97,2.55,11.21,9.96,12.93,4.45,0,448816.0,2.12
37,008560,메리츠증권,금융 지원 서비스업,"유가증권의 위탁매매,자기매매,인수공모주선업무",0,22172.0,3280.0,7739.0,7867.0,8318.0,2.36,2.54,8.67,9.28,10.98,15.06,0,8806.0,2.68
38,036010,아비코전자,전자부품 제조업,"전자저항기, 전자인덕터",8,718.0,5400.0,9516.0,10378.0,13424.0,1.76,2.49,12.65,10.99,1.76,-4.76,1,5612.0,1.04
39,079810,디이엔티,특수 목적용 기계 제조업,FPD공정검사장비,2,1285.0,9860.0,8063.0,11710.0,24600.0,0.82,2.49,60.17,94.47,-20.66,-39.95,1,11648.0,1.18
40,053610,프로텍,특수 목적용 기계 제조업,"Dispenser, Tray Feeder, 공압실린더",8,2382.0,21650.0,33806.0,38067.0,53131.0,1.56,2.45,14.89,16.29,15.68,19.94,0,53841.0,2.49
