,Code,Name,Industry,Main_product,시가총액_억,영업활동&현금_202006,Ratio,영업활동&현금_201912,영업활동&현금_201812,영업활동&현금_201712
0,052400,코나아이,소프트웨어 개발 및 공급업,"전자화폐, 단말기, 수집/정산시스템",2030,6233.0,6.14,0.0,0.0,0.0
1,000540,흥국화재,보험업,손해보험,1407,2484.0,3.53,0.0,0.0,0.0
2,000140,하이트진로홀딩스,기타 금융업,지주회사,4142,6596.0,3.18,0.0,0.0,0.0
3,021320,KCC건설,건물 건설업,"토목 건축공사, 분양공사",1577,2023.0,2.57,0.0,0.0,0.0
4,122690,서진오토모티브,자동차 신품 부품 제조업,"Clutch,Flywheel,Driveplate,Bearing,ATparts",342,435.0,2.54,0.0,0.0,0.0
5,000370,한화손해보험,보험업,손해보험,3204,3706.0,2.31,0.0,0.0,0.0
6,092200,디아이씨,자동차 신품 부품 제조업,"자동차부품(트란스밋숀,프런트액슬,기어,전동축),변속동력전달장치,특수공구,농기계 및 산업기계부품 제조,무역",611,660.0,2.16,0.0,0.0,0.0
7,037400,우리조명,전구 및 조명장치 제조업,"변환장치 제조업 백열전구, 형광등",389,394.0,2.03,0.0,0.0,0.0
8,038110,에코플라스틱,자동차 신품 부품 제조업,BUMPER 및 자동차TRIM류,395,395.0,2.0,0.0,0.0,0.0
9,002020,코오롱,기타 금융업,지주회사,2904,2885.0,1.99,0.0,0.0,0.0
10,036460,한국가스공사,연료용 가스 제조 및 배관공급업,"액화천연가스 공급,제조,도매,개발",22017,20256.0,1.84,0.0,0.0,0.0
11,018500,동원금속,자동차 신품 부품 제조업,"자동차부품(도어후레임,머플러,임팩트빔),강관 제조,판매",322,286.0,1.78,0.0,0.0,0.0
12,900290,GRT,기타 금융업,"광학필름, 포장필름",893,786.0,1.76,0.0,0.0,0.0
13,071320,지역난방공사,"증기, 냉·온수 및 공기조절 공급업","집단에너지공급 및 전기,증기 생산,판매",3873,3353.0,1.73,0.0,0.0,0.0
14,103590,일진전기,절연선 및 케이블 제조업,,962,756.0,1.57,0.0,0.0,0.0
15,009200,무림페이퍼,"펄프, 종이 및 판지 제조업","지류,아트지,백상지 제조",926,704.0,1.52,0.0,0.0,0.0
16,003030,세아제강지주,기타 금융업,경영컨설팅업,1988,1504.0,1.51,0.0,0.0,0.0
17,004960,한신공영,건물 건설업,"토목공사,건축공사,주택건설,유통업(백화점),문화교실,주차장",1660,1233.0,1.49,0.0,0.0,0.0
18,175140,인포마크,통신 및 방송 장비 제조업,"웨어러블 디바이스, 모바일 라우터",218,161.0,1.48,0.0,0.0,0.0
