,Code,Name,Industry,Main_product,시가총액_억,영업활동&현금_202006,Ratio,영업활동&현금_201912,영업활동&현금_201812,영업활동&현금_201712
0,052400,코나아이,소프트웨어 개발 및 공급업,"전자화폐, 단말기, 수집/정산시스템",2030,6233.0,6.14,0.0,0.0,0.0
1,000540,흥국화재,보험업,손해보험,1458,4449.0,6.1,0.0,0.0,0.0
2,000370,한화손해보험,보험업,손해보험,3175,8525.0,5.37,0.0,0.0,0.0
3,000140,하이트진로홀딩스,기타 금융업,지주회사,4131,6596.0,3.19,0.0,0.0,0.0
4,208890,에듀파트너,교육지원 서비스업,방과후 교육,20,29.0,2.9,0.0,0.0,0.0
5,900080,에스앤씨엔진그룹,기타 금융업,"오토바이, 제초기, 자동차기어",244,324.0,2.66,0.0,0.0,0.0
6,021320,KCC건설,건물 건설업,"토목 건축공사, 분양공사",1626,2023.0,2.49,0.0,0.0,0.0
7,122690,서진오토모티브,자동차 신품 부품 제조업,"Clutch,Flywheel,Driveplate,Bearing,ATparts",351,435.0,2.48,0.0,0.0,0.0
8,900300,오가닉티코스메틱,기타 금융업,"유아용 화장품(클렌징, 여름용, 피부케어, 기능성 화장품)",473,520.0,2.2,0.0,0.0,0.0
9,002020,코오롱,기타 금융업,지주회사,2885,2885.0,2.0,0.0,0.0,0.0
10,092200,디아이씨,자동차 신품 부품 제조업,"자동차부품(트란스밋숀,프런트액슬,기어,전동축),변속동력전달장치,특수공구,농기계 및 산업기계부품 제조,무역",659,660.0,2.0,0.0,0.0,0.0
11,038110,에코플라스틱,자동차 신품 부품 제조업,BUMPER 및 자동차TRIM류,400,395.0,1.98,0.0,0.0,0.0
12,037400,우리조명,전구 및 조명장치 제조업,"변환장치 제조업 백열전구, 형광등",406,394.0,1.94,0.0,0.0,0.0
13,036460,한국가스공사,연료용 가스 제조 및 배관공급업,"액화천연가스 공급,제조,도매,개발",22247,20256.0,1.82,0.0,0.0,0.0
14,071320,지역난방공사,"증기, 냉·온수 및 공기조절 공급업","집단에너지공급 및 전기,증기 생산,판매",3943,3353.0,1.7,0.0,0.0,0.0
15,225860,엠앤씨생명과학,기타 화학제품 제조업,"무합성화장품, 건강기능식품",24,19.0,1.58,0.0,0.0,0.0
16,103590,일진전기,절연선 및 케이블 제조업,,970,756.0,1.56,0.0,0.0,0.0
17,003030,세아제강지주,기타 금융업,경영컨설팅업,1942,1504.0,1.55,0.0,0.0,0.0
18,088350,한화생명,보험업,생명보험,13679,10174.0,1.49,0.0,0.0,0.0
19,175140,인포마크,통신 및 방송 장비 제조업,"웨어러블 디바이스, 모바일 라우터",216,161.0,1.49,0.0,0.0,0.0
20,009200,무림페이퍼,"펄프, 종이 및 판지 제조업","지류,아트지,백상지 제조",965,704.0,1.46,0.0,0.0,0.0
21,004960,한신공영,건물 건설업,"토목공사,건축공사,주택건설,유통업(백화점),문화교실,주차장",1701,1233.0,1.45,0.0,0.0,0.0
22,023350,한국종합기술,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,감리,측량/토목건축공사",440,313.0,1.42,0.0,0.0,0.0
23,001020,페이퍼코리아,"펄프, 종이 및 판지 제조업","제지(신문용지,중질지),합판 제조,건설,석유류 판매",543,380.0,1.4,0.0,0.0,0.0
24,009620,삼보산업,1차 비철금속 제조업,알미늄괴,260,179.0,1.38,0.0,0.0,0.0
25,023960,에쓰씨엔지니어링,토목 건설업,"기술용역(건축설계) 서비스/화학플랜트 설비,기계 제작(음식료,석유화학사업관련)/유공압기기 판매",321,222.0,1.38,0.0,0.0,0.0
26,079950,인베니아,특수 목적용 기계 제조업,"Dry Etcher, 진공합착기, LCD Panel 검사장비, OLED용 진공합착기",452,305.0,1.35,0.0,0.0,0.0
27,036710,심텍홀딩스,통신 및 방송 장비 제조업,반도체용 인쇄회로기판,947,630.0,1.33,0.0,0.0,0.0
28,034300,신세계건설,건물 건설업,"토목,건축,건축관련기술서비스,빌딩관리용역,골프장,내장공사,시설개보수,설계용역",896,591.0,1.32,0.0,0.0,0.0
29,000880,한화,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",20876,13611.0,1.3,0.0,0.0,0.0
30,002460,화성산업,건물 건설업,아파트 건설,1494,970.0,1.3,0.0,0.0,0.0
31,194510,파티게임즈,소프트웨어 개발 및 공급업,모바일 게임,131,84.0,1.28,0.0,0.0,0.0
32,013580,계룡건설산업,토목 건설업,"건축공사,주택공사,토목공사,포장공사,전기공사",2206,1398.0,1.27,0.0,0.0,0.0
33,058650,세아홀딩스,1차 철강 제조업,지주회사/투자 및 경영컨설팅/부동산 임대,2864,1748.0,1.22,0.0,0.0,0.0
34,034590,인천도시가스,연료용 가스 제조 및 배관공급업,도시가스 공급/가스설비공사,1085,640.0,1.18,0.0,0.0,0.0
35,003070,코오롱글로벌,토목 건설업,"토목공사,일반건설,주택건설,해외건설,소각로설비공사/환경플랜트,폐처리기 제조",4790,2782.0,1.16,0.0,0.0,0.0
36,003380,하림지주,기타 금융업,지주사업,6113,3449.0,1.13,0.0,0.0,0.0
37,007280,한국특수형강,1차 철강 제조업,"철강압연제품(앵글,이형형강,평철,환봉) 제조,판매",495,265.0,1.07,0.0,0.0,0.0
38,101330,모베이스,통신 및 방송 장비 제조업,휴대전화 케이스,744,398.0,1.07,0.0,0.0,0.0
39,005740,크라운해태홀딩스,기타 금융업,"비스켓,쵸코렛,사탕,웨이퍼 제조,도매",1307,695.0,1.06,0.0,0.0,0.0
40,035890,서희건설,건물 건설업,"토목, 건축, 부동산임대업",2361,1253.0,1.06,0.0,0.0,0.0
41,033160,엠케이전자,전자부품 제조업,반도체용세금선,2246,1181.0,1.05,0.0,0.0,0.0
42,900270,헝셩그룹,기타 금융업,자회사 제품 : 아동용 완구 및 아동복 등,539,279.0,1.04,0.0,0.0,0.0
43,123890,한국자산신탁,신탁업 및 집합투자업,"부동산 신탁 서비스, REITs",4649,2382.0,1.02,0.0,0.0,0.0
44,001450,현대해상,보험업,손해보험(자동차보험),20383,10344.0,1.01,0.0,0.0,0.0
45,006800,미래에셋대우,금융 지원 서비스업,"유가증권매매,유가증권위탁매매,유가증권인수",63047,31773.0,1.01,0.0,0.0,0.0
46,121890,에스디시스템,전자부품 제조업,"요금징수시스템, 지능형교통시스템,하이패스단말기",67,34.0,1.01,0.0,0.0,0.0
47,002030,아세아,회사 본부 및 경영 컨설팅 서비스업,"회사본부,지주회사 및 경영컨설팅 서비스업",1632,816.0,1.0,0.0,0.0,0.0
48,004690,삼천리,연료용 가스 제조 및 배관공급업,도시가스 공급/부동산 임대,2968,1489.0,1.0,0.0,0.0,0.0
49,011560,세보엠이씨,건물설비 설치 공사업,"건설관련설비, ACESS FLOOR , 소음기 , CHAMMBER , PFP UNIT, BY-PASS UNIT , DUCT , 철구조물 .",607,305.0,1.0,0.0,0.0,0.0
50,226350,아이엠텍,전자부품 제조업,휴대폰용 안테나 및 카메라모듈,93,45.0,0.97,0.0,0.0,0.0
51,084010,대한제강,1차 철강 제조업,"제강,철재,철근,환봉,마환봉,빌레트 제조",1595,764.0,0.96,0.0,0.0,0.0
52,041440,에버다임,특수 목적용 기계 제조업,"콘크리트펌프트럭, 중장비개량사업",713,337.0,0.95,0.0,0.0,0.0
53,054930,유신,"건축기술, 엔지니어링 및 관련 기술 서비스업",토목설계 및 감리,429,202.0,0.94,0.0,0.0,0.0
54,016250,이테크건설,건물 건설업,"건축공사, 플랜트설비, 토목공사",2828,1320.0,0.93,0.0,0.0,0.0
55,092230,KPX홀딩스,기초 화학물질 제조업,지주회사,1749,793.0,0.91,0.0,0.0,0.0
56,003480,한진중공업홀딩스,연료용 가스 제조 및 배관공급업,지주회사,936,411.0,0.88,0.0,0.0,0.0
57,140660,위월드,통신 및 방송 장비 제조업,"이동위성통신안테나, 위성방송시스템",34,15.0,0.88,0.0,0.0,0.0
58,000500,가온전선,절연선 및 케이블 제조업,"전력선,통신케이블 제조,도매,수출입",845,363.0,0.86,0.0,0.0,0.0
59,015760,한국전력공사,전기업,"전력자원개발,발전,송전,전력용기자재확보",135775,58412.0,0.86,0.0,0.0,0.0
60,036530,S&T홀딩스,기타 금융업,"지배,경영지도,정리,육성",2478,1058.0,0.85,0.0,0.0,0.0
61,108670,LG하우시스,플라스틱제품 제조업,"창호재, 자동차부품 등",5246,2232.0,0.85,0.0,0.0,0.0
62,013310,아진산업,자동차 신품 부품 제조업,자동차 차체 부품,884,364.0,0.82,0.0,0.0,0.0
63,049800,우진플라임,특수 목적용 기계 제조업,"플라스틱사출성형기 제조,판매",344,140.0,0.81,0.0,0.0,0.0
64,058430,포스코강판,1차 철강 제조업,"용융아연도금강판,용융알루미늄도금강판,칼라도장강판,냉연강판 가공,제조,도매",744,302.0,0.81,0.0,0.0,0.0
65,316140,우리금융지주,기타 금융업,금융지주,62259,25124.0,0.81,0.0,0.0,0.0
66,015750,성우하이텍,자동차 신품 부품 제조업,자동차범퍼,2476,988.0,0.8,0.0,0.0,0.0
67,012860,모베이스전자,자동차 신품 부품 제조업,"스마트키,스위치",676,266.0,0.79,0.0,0.0,0.0
68,017940,E1,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",3409,1354.0,0.79,0.0,0.0,0.0
69,001040,CJ,기타 금융업,지주회사,24363,9460.0,0.78,0.0,0.0,0.0
70,001430,세아베스틸,1차 철강 제조업,"특수강,철도용품,자동차부품 제조,수출입",3640,1421.0,0.78,0.0,0.0,0.0
71,030200,케이티,전기 통신업,"유무선통신사업,공중전기통신사업,인터넷,전자상거래,네트워크(전용회선,데이터통신,초고속사업 등)",62275,24319.0,0.78,0.0,0.0,0.0
72,234070,에이원알폼,산업용 기계 및 장비 임대업,건설현장용 알루미늄 거푸집 임대,429,165.0,0.77,0.0,0.0,0.0
73,009410,태영건설,토목 건설업,"종합건설업(토목공사,도로공사,건축공사,관급공사,환경공사,상하수도공사,하수종말처리공사)/부동산 임대,매매",16502,6305.0,0.76,0.0,0.0,0.0
