,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,EPS*ROE,Return_Rate,ROE_20(E),ROE_19,roe_past_2,roe_past_3,영업이익 - 20E,그룹,Est.시가총액(억),Est / 현재 (%)
0,140290,청광건설,토목 건설업,"관도급, BTL, 자체사업",0,76.0,723.0,280000.0,3.87,10.41,0.0,0.0,0.0,119.0,10,1190.0,14.66
1,014790,한라,토목 건설업,"토목,건축,전기,환경사업,준설공사,포장공사,주택,중기임대",0,1361.0,3500.0,1238000.0,3.54,23.25,0.97,-3.82,12.8,955.0,10,9550.0,6.02
2,000880,한화,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",0,20876.0,27850.0,3607000.0,1.3,7.73,2.09,10.73,9.06,14530.0,10,145300.0,5.96
3,035890,서희건설,건물 건설업,"토목, 건축, 부동산임대업",0,2361.0,1140.0,490000.0,4.3,24.3,18.62,13.22,13.36,1466.0,10,14660.0,5.21
4,012630,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",4,6811.0,11400.0,4451000.0,3.9,11.67,12.58,38.82,14.36,4020.0,10,40200.0,4.9
5,001040,CJ,기타 금융업,지주회사,0,24363.0,83500.0,7923000.0,0.95,6.09,6.24,6.91,12.1,13777.0,10,137770.0,4.65
6,067310,하나마이크론,반도체 제조업,"반도체패키징,USB플래쉬드라이브",1,2111.0,6950.0,1152000.0,1.66,12.07,-1.7,1.05,5.09,590.0,20,11800.0,4.59
7,003380,하림지주,기타 금융업,지주사업,0,6113.0,6620.0,550000.0,0.83,2.81,3.24,6.36,14.34,3310.0,10,33100.0,4.41
8,175330,JB금융지주,기타 금융업,금융지주 회사,0,8657.0,4395.0,1661000.0,3.78,9.09,10.36,8.69,7.86,4658.0,10,46580.0,4.38
9,023590,다우기술,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","인터넷솔루션 개발,도매,IT컨설팅,시스템 설계,자문,인터넷관련서비스/부동산분양,개발,임대",1,9130.0,20350.0,4533000.0,2.23,15.22,14.61,9.78,11.53,4792.0,10,47920.0,4.25
10,036460,한국가스공사,연료용 가스 제조 및 배관공급업,"액화천연가스 공급,제조,도매,개발",0,22247.0,24100.0,0.0,0.0,-0.74,0.48,6.36,-14.03,11091.0,10,110910.0,3.99
11,139130,DGB금융지주,기타 금융업,지주회사,0,9066.0,5360.0,1765000.0,3.29,6.26,7.31,9.25,7.97,4474.0,10,44740.0,3.93
12,040910,아이씨디,특수 목적용 기계 제조업,"건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입",5,2863.0,15950.0,5846000.0,3.67,30.61,8.01,22.47,19.84,669.0,20,13380.0,3.67
13,023410,유진기업,"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘,0,3096.0,4005.0,861000.0,2.15,8.68,2.61,3.15,12.44,1415.0,10,14150.0,3.57
14,138930,BNK금융지주,기타 금융업,금융지주회사,0,16949.0,5200.0,1518000.0,2.92,5.82,7.07,6.84,5.83,7283.0,10,72830.0,3.3
15,001230,동국제강,1차 철강 제조업,"후판,철근,강판,형강,앵글,찬넬,평철 제조,판매",0,6031.0,6320.0,0.0,0.0,-2.57,-3.63,-14.25,0.2,2590.0,10,25900.0,3.29
16,009970,영원무역홀딩스,기타 금융업,"스포츠의류(등산복,운동복,스키복) 도소매,수출,섬유봉제",5,5107.0,37450.0,6366000.0,1.7,6.09,9.6,8.49,8.2,2170.0,10,21700.0,3.25
17,213500,한솔제지,"펄프, 종이 및 판지 제조업","인쇄용지, 산업용지, 특수지 제조 및 판매",0,3189.0,13400.0,3361000.0,2.51,12.98,6.92,7.49,8.81,1340.0,10,13400.0,3.2
18,001500,현대차증권,금융 지원 서비스업,"유가증권의매매,위탁매매,유가증권의 중개,대리/부동산 임대",0,3051.0,10400.0,2348000.0,2.26,9.2,7.93,6.06,6.04,1268.0,10,12680.0,3.16
19,017940,E1,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",0,3409.0,49700.0,9708000.0,1.95,5.84,-3.63,6.47,7.39,1374.0,10,13740.0,3.03
20,025000,KPX케미칼,기초 화학물질 제조업,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매",5,2258.0,46650.0,15578000.0,3.34,7.96,9.04,2.54,6.19,444.0,20,8880.0,2.93
21,007980,태평양물산,봉제의복 제조업,"봉제의류(자켓,파카,코트),침구 제조,우모가공,생활용품 도소매,무역",1,881.0,1830.0,0.0,0.0,0.0,6.99,7.14,7.86,346.0,10,3460.0,2.93
