,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,S-RIM,매수금액,매도금액_1st,매도금액_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Return_rate(BPS&ROE),영업이익_20(E),영업이익_19,영업이익_18,영업이익_17,Multiple,영업이익_비율,매출액_20(E),매출액_19,매출액_18,매출액_17
0,271850,다이오진,자연과학 및 공학 연구개발업,"분자진단서비스, 분자진단Kit",2,73.0,2170.0,Ave ROE,130844.0,230286.0,584380.0,60.3,269.3,0.0,-15870.49,34.1,31.95,No,285.48,0.0,-32.0,7.0,5.0,10,0.0,0.0,25.0,41.0,32.0
1,900080,에스앤씨엔진그룹,기타 금융업,"오토바이, 제초기, 자동차기어",5,244.0,197.0,Ave ROE,3051.0,2670.0,1315.0,15.49,6.68,0.0,1.28,4.27,4.96,No,6.68,0.0,146.0,224.0,295.0,10,0.0,0.0,1076.0,1300.0,1573.0
2,027410,BGF,기타 금융업,지주회사,5,3771.0,3975.0,Ave ROE,45494.0,68038.0,148313.0,11.44,37.31,0.0,1.79,4.37,428.57,No,37.31,0.0,294.0,295.0,110.0,10,0.0,0.0,2403.0,2206.0,1243.0
3,008060,대덕,전자부품 제조업,"산업용 인쇄회로기판,다층 인쇄회로기판,빌드업기판,반도체패키지기판,메모리모듈기판 제조",5,2037.0,6010.0,Ave ROE,48735.0,55854.0,81203.0,8.11,13.51,0.0,6.38,35.2,7.22,No,4.55,0.0,464.0,348.0,306.0,15,0.0,0.0,10722.0,5921.0,5121.0
4,900300,오가닉티코스메틱,기타 금융업,"유아용 화장품(클렌징, 여름용, 피부케어, 기능성 화장품)",5,442.0,686.0,Ave ROE,5342.0,6135.0,8958.0,7.79,13.06,0.0,12.19,19.43,22.32,No,14.78,0.0,459.0,610.0,607.0,10,0.0,0.0,2996.0,2400.0,1977.0
5,114920,대주이엔티,1차 철강 제조업,"이중보온관, 엘리베이터 가이드 레일",1,35.0,872.0,Ave ROE,6392.0,5776.0,3583.0,7.33,4.11,0.0,-1.67,17.64,-6.97,No,4.11,0.0,12.0,59.0,37.0,10,0.0,0.0,998.0,1283.0,1302.0
6,900280,골든센츄리,기타 금융업,트랙터용 휠 및 타이어,5,365.0,233.0,Ave ROE,1589.0,1761.0,2372.0,6.82,10.18,0.0,11.22,14.99,17.97,No,10.18,0.0,294.0,245.0,266.0,10,0.0,0.0,1131.0,883.0,1061.0
7,012320,경동인베스트,기타 금융업,지주회사,5,631.0,26450.0,Ave ROE,173857.0,164269.0,130125.0,6.57,4.92,0.0,2.26,7.46,10.99,No,4.62,0.0,220.0,389.0,364.0,10,0.0,0.0,2718.0,2286.0,1951.0
8,900270,헝셩그룹,기타 금융업,자회사 제품 : 아동용 완구 및 아동복 등,5,488.0,606.0,Ave ROE,3936.0,4287.0,5533.0,6.5,9.13,0.0,12.56,10.82,15.32,No,9.13,0.0,439.0,345.0,390.0,10,0.0,0.0,2212.0,2004.0,2008.0
9,900110,이스트아시아홀딩스,기타 금융업,"스포츠화, 스포츠의류",5,254.0,231.0,Ave ROE,1498.0,1254.0,385.0,6.48,1.67,0.0,1.61,1.81,1.46,No,1.67,0.0,61.0,55.0,65.0,10,0.0,0.0,915.0,930.0,987.0
10,003030,세아제강지주,기타 금융업,경영컨설팅업,5,1748.0,41000.0,Ave ROE,252915.0,263589.0,301595.0,6.17,7.36,0.0,-0.32,29.05,2.04,No,7.19,0.0,631.0,805.0,522.0,10,0.0,0.0,26439.0,17817.0,15070.0
11,005010,휴스틸,1차 철강 제조업,"강관(배관용,구조용,유정용) 제조,도매",5,499.0,6580.0,Ave ROE,40435.0,31657.0,400.0,6.15,0.06,0.0,-3.13,4.39,0.97,No,0.06,0.0,-129.0,179.0,227.0,10,0.0,0.0,5370.0,5888.0,6906.0
12,058650,세아홀딩스,1차 철강 제조업,지주회사/투자 및 경영컨설팅/부동산 임대,5,2788.0,69700.0,Ave ROE,419639.0,363828.0,165097.0,6.02,2.37,0.0,1.58,1.72,7.5,No,2.36,0.0,895.0,1175.0,2746.0,10,0.0,0.0,49307.0,51769.0,47944.0
13,003830,대한화섬,화학섬유 제조업,"화학섬유원사(FY,PTY,S.FIBER)제조",5,1070.0,79200.0,Ave ROE,450307.0,431736.0,365611.0,5.69,4.62,0.0,4.36,9.15,4.7,No,3.99,0.0,49.0,22.0,57.0,10,0.0,0.0,1142.0,1077.0,1108.0
14,003240,태광산업,화학섬유 제조업,"석유화학제품(PTA,AN),화섬사,직물 등",5,7081.0,638000.0,Ave ROE,3527822.0,3339133.0,2667247.0,5.53,4.18,0.0,4.34,7.39,5.29,No,3.44,0.0,2914.0,3315.0,2412.0,10,0.0,0.0,29180.0,31088.0,29158.0
15,900260,로스웰,기타 금융업,"CAN Control Gateway, CAN기능모듈, BCM 차체제어모듈",5,435.0,307.0,Ave ROE,1692.0,1591.0,1231.0,5.51,4.01,0.0,1.19,6.23,15.57,No,4.02,0.0,44.0,158.0,352.0,10,0.0,0.0,977.0,1356.0,1933.0
16,002030,아세아,회사 본부 및 경영 컨설팅 서비스업,"회사본부,지주회사 및 경영컨설팅 서비스업",5,1656.0,75100.0,Ave ROE,398733.0,388209.0,350736.0,5.31,4.67,0.0,6.37,7.07,6.58,No,4.04,0.0,1581.0,1837.0,641.0,10,0.0,0.0,15424.0,16276.0,11978.0
17,004960,한신공영,건물 건설업,"토목공사,건축공사,주택건설,유통업(백화점),문화교실,주차장",1,1493.0,12850.0,Ave ROE,65703.0,82348.0,141618.0,5.11,11.02,0.0,15.21,41.29,23.63,No,11.02,0.0,1245.0,2145.0,1333.0,10,0.0,0.0,16233.0,21422.0,19843.0
