,Code,Name,Industry,Main_product,시가총액_억,Ratio,영업활동&현금_202006,영업활동&현금_201912,영업활동&현금_201812,영업활동&현금_201712
0,052400,코나아이,소프트웨어 개발 및 공급업,"전자화폐, 단말기, 수집/정산시스템",2030,6.14,6233.0,0.0,0.0,0.0
1,000540,흥국화재,보험업,손해보험,1577,5.64,4449.0,0.0,0.0,0.0
2,000370,한화손해보험,보험업,손해보험,3321,5.13,8525.0,0.0,0.0,0.0
3,000140,하이트진로홀딩스,기타 금융업,지주회사,3713,3.55,6596.0,0.0,0.0,0.0
4,009410,태영건설,토목 건설업,"종합건설업(토목공사,도로공사,건축공사,관급공사,환경공사,상하수도공사,하수종말처리공사)/부동산 임대,매매",4221,2.99,6305.0,0.0,0.0,0.0
5,021320,KCC건설,건물 건설업,"토목 건축공사, 분양공사",1453,2.78,2023.0,0.0,0.0,0.0
6,092200,디아이씨,자동차 신품 부품 제조업,"자동차부품(트란스밋숀,프런트액슬,기어,전동축),변속동력전달장치,특수공구,농기계 및 산업기계부품 제조,무역",552,2.39,660.0,0.0,0.0,0.0
7,194510,파티게임즈,소프트웨어 개발 및 공급업,모바일 게임,72,2.33,84.0,0.0,0.0,0.0
8,002020,코오롱,기타 금융업,지주회사,2588,2.23,2885.0,0.0,0.0,0.0
9,037400,우리조명,전구 및 조명장치 제조업,"변환장치 제조업 백열전구, 형광등",391,2.02,394.0,0.0,0.0,0.0
10,038110,에코플라스틱,자동차 신품 부품 제조업,BUMPER 및 자동차TRIM류,413,1.91,395.0,0.0,0.0,0.0
11,036460,한국가스공사,연료용 가스 제조 및 배관공급업,"액화천연가스 공급,제조,도매,개발",21878,1.85,20256.0,0.0,0.0,0.0
12,003030,세아제강지주,기타 금융업,경영컨설팅업,1748,1.72,1504.0,0.0,0.0,0.0
13,071320,지역난방공사,"증기, 냉·온수 및 공기조절 공급업","집단에너지공급 및 전기,증기 생산,판매",3914,1.71,3353.0,0.0,0.0,0.0
14,122690,서진오토모티브,자동차 신품 부품 제조업,"Clutch,Flywheel,Driveplate,Bearing,ATparts",524,1.66,435.0,0.0,0.0,0.0
15,004960,한신공영,건물 건설업,"토목공사,건축공사,주택건설,유통업(백화점),문화교실,주차장",1493,1.65,1233.0,0.0,0.0,0.0
16,088350,한화생명,보험업,생명보험,12507,1.63,10174.0,0.0,0.0,0.0
17,013580,계룡건설산업,토목 건설업,"건축공사,주택공사,토목공사,포장공사,전기공사",1737,1.61,1398.0,0.0,0.0,0.0
18,175140,인포마크,통신 및 방송 장비 제조업,"웨어러블 디바이스, 모바일 라우터",208,1.55,161.0,0.0,0.0,0.0
19,000880,한화,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",18028,1.51,13611.0,0.0,0.0,0.0
20,103590,일진전기,절연선 및 케이블 제조업,,1001,1.51,756.0,0.0,0.0,0.0
21,009200,무림페이퍼,"펄프, 종이 및 판지 제조업","지류,아트지,백상지 제조",936,1.5,704.0,0.0,0.0,0.0
22,023960,에쓰씨엔지니어링,토목 건설업,"기술용역(건축설계) 서비스/화학플랜트 설비,기계 제작(음식료,석유화학사업관련)/유공압기기 판매",305,1.46,222.0,0.0,0.0,0.0
23,023350,한국종합기술,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,감리,측량/토목건축공사",432,1.45,313.0,0.0,0.0,0.0
24,036710,심텍홀딩스,통신 및 방송 장비 제조업,반도체용 인쇄회로기판,876,1.44,630.0,0.0,0.0,0.0
