,code,year,매출액,영업이익,당기순이익,ROE,EPS
0,155660,2016/12,2011.0,134.0,107.0,8.5,672.0
1,155660,2017/12,2264.0,139.0,110.0,8.15,692.0
2,155660,2018/12,2360.0,99.0,80.0,5.54,494.0
3,155660,2019/12,2363.0,107.0,88.0,5.83,546.0
4,155660,2020/12(E),0.0,0.0,0.0,0.0,0.0
5,078930,2016/12,134624.0,17542.0,9233.0,12.13,8508.0
6,078930,2017/12,155801.0,20408.0,10919.0,13.42,10414.0
7,078930,2018/12,177444.0,22098.0,10305.0,11.14,9537.0
8,078930,2019/12,177861.0,20331.0,6689.0,6.26,5744.0
9,078930,2020/12(E),166437.0,9705.0,644.0,-0.2,-183.0
10,001250,2016/12,25538.0,364.0,161.0,6.07,272.0
11,001250,2017/12,33874.0,480.0,225.0,6.22,256.0
12,001250,2018/12,40585.0,561.0,211.0,5.48,249.0
13,001250,2019/12,38894.0,583.0,-167.0,-4.61,-207.0
14,001250,2020/12(E),0.0,0.0,0.0,0.0,0.0
15,294870,2016/12,0.0,0.0,0.0,0.0,0.0
16,294870,2017/12,0.0,0.0,0.0,0.0,0.0
17,294870,2018/12,27927.0,3179.0,2299.0,0.0,5231.0
18,294870,2019/12,42165.0,5515.0,4137.0,20.3,9415.0
19,294870,2020/12(E),37784.0,4709.0,3128.0,12.51,5085.0
20,011070,2016/12,57546.0,1048.0,50.0,0.28,209.0
21,011070,2017/12,76414.0,2965.0,1748.0,9.37,7385.0
22,011070,2018/12,79821.0,2635.0,1631.0,8.02,6891.0
23,011070,2019/12,83021.0,4031.0,1023.0,4.73,4323.0
24,011070,2020/12(E),90262.0,5881.0,3371.0,14.22,14243.0
25,066570,2016/12,553670.0,13378.0,1263.0,0.65,425.0
26,066570,2017/12,613963.0,24685.0,18695.0,13.69,9543.0
27,066570,2018/12,613417.0,27033.0,14728.0,9.03,6858.0
28,066570,2019/12,623062.0,24361.0,1799.0,0.22,173.0
29,066570,2020/12(E),609386.0,28016.0,17114.0,10.48,8706.0
30,037560,2016/12,11006.0,429.0,215.0,2.24,278.0
31,037560,2017/12,11199.0,729.0,289.0,2.96,373.0
32,037560,2018/12,11780.0,672.0,391.0,3.83,505.0
33,037560,2019/12,11122.0,292.0,-942.0,-9.4,-1217.0
34,037560,2020/12(E),10728.0,359.0,191.0,2.0,247.0
35,010060,2016/12,27367.0,1325.0,2194.0,7.87,10152.0
36,010060,2017/12,36316.0,2844.0,2326.0,7.17,9849.0
37,010060,2018/12,31121.0,1587.0,1038.0,3.06,4352.0
38,010060,2019/12,26051.0,-1806.0,-8074.0,-26.19,-33308.0
39,010060,2020/12(E),20286.0,-1182.0,-1033.0,-3.87,-4185.0
40,100840,2016/12,2541.0,12.0,17.0,0.72,221.0
41,100840,2017/12,1841.0,192.0,46.0,1.98,610.0
42,100840,2018/12,1395.0,-19.0,18.0,0.78,243.0
43,100840,2019/12,2133.0,175.0,155.0,6.49,2058.0
44,100840,2020/12(E),0.0,0.0,0.0,0.0,0.0
45,064960,2016/12,11538.0,716.0,343.0,5.01,2295.0
46,064960,2017/12,11375.0,967.0,591.0,8.12,3888.0
47,064960,2018/12,9189.0,582.0,572.0,7.77,3848.0
48,064960,2019/12,9763.0,892.0,37.0,0.33,166.0
49,064960,2020/12(E),9529.0,818.0,703.0,9.21,4783.0
50,006120,2016/12,53222.0,1897.0,1759.0,5.35,3046.0
51,006120,2017/12,64159.0,821.0,8012.0,53.52,28731.0
52,006120,2018/12,69392.0,1000.0,977.0,5.56,3941.0
53,006120,2019/12,50211.0,1739.0,2502.0,11.52,8844.0
54,006120,2020/12(E),0.0,0.0,0.0,0.0,0.0
55,096770,2016/12,395205.0,32283.0,17214.0,10.13,17834.0
56,096770,2017/12,461627.0,32218.0,21451.0,11.96,22449.0
