,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,S-RIM,매수금액,매도금액_1st,매도금액_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Return_rate(BPS&ROE),영업이익_20(E),영업이익_19,영업이익_18,영업이익_17,Multiple,영업이익_비율,매출액_20(E),매출액_19,매출액_18,매출액_17
0,271850,다이오진,자연과학 및 공학 연구개발업,"분자진단서비스, 분자진단Kit",2,61.0,1980.0,Ave ROE,130562.0,229513.0,579925.0,65.94,292.89,0.0,-15870.49,34.1,31.95,No,310.49,0.0,-32.0,7.0,5.0,10,0.0,0.0,25.0,41.0,32.0
1,900080,에스앤씨엔진그룹,기타 금융업,"오토바이, 제초기, 자동차기어",5,244.0,197.0,Ave ROE,3046.0,2662.0,1305.0,15.46,6.62,0.0,1.28,4.27,4.96,No,6.62,0.0,146.0,224.0,295.0,10,0.0,0.0,1076.0,1300.0,1573.0
2,900300,오가닉티코스메틱,기타 금융업,"유아용 화장품(클렌징, 여름용, 피부케어, 기능성 화장품)",5,449.0,713.0,Ave ROE,5332.0,6116.0,8890.0,7.48,12.47,0.0,12.19,19.43,22.32,No,14.11,0.0,459.0,610.0,607.0,10,0.0,0.0,2996.0,2400.0,1977.0
3,114920,대주이엔티,1차 철강 제조업,"이중보온관, 엘리베이터 가이드 레일",1,27.0,879.0,Ave ROE,6381.0,5759.0,3556.0,7.26,4.04,0.0,-1.67,17.64,-6.97,No,4.05,0.0,12.0,59.0,37.0,10,0.0,0.0,998.0,1283.0,1302.0
4,012320,경동인베스트,기타 금융업,지주회사,5,668.0,27900.0,Ave ROE,173563.0,163780.0,129133.0,6.22,4.63,0.0,2.26,7.46,10.99,No,4.35,0.0,220.0,389.0,364.0,10,0.0,0.0,2718.0,2286.0,1951.0
5,008060,대덕,전자부품 제조업,"산업용 인쇄회로기판,다층 인쇄회로기판,빌드업기판,반도체패키지기판,메모리모듈기판 제조",5,2159.0,6400.0,Ave ROE,37949.0,43436.0,62864.0,5.93,9.82,0.0,6.38,35.2,7.22,No,4.24,0.0,464.0,348.0,306.0,15,0.0,0.0,10722.0,5921.0,5121.0
6,900110,이스트아시아홀딩스,기타 금융업,"스포츠화, 스포츠의류",5,273.0,254.0,Ave ROE,1495.0,1250.0,382.0,5.89,1.5,0.0,1.61,1.81,1.46,No,1.5,0.0,61.0,55.0,65.0,10,0.0,0.0,915.0,930.0,987.0
7,058650,세아홀딩스,1차 철강 제조업,지주회사/투자 및 경영컨설팅/부동산 임대,5,2868.0,72600.0,Ave ROE,419206.0,362996.0,163940.0,5.77,2.26,0.0,1.58,1.72,7.5,No,2.25,0.0,895.0,1175.0,2746.0,10,0.0,0.0,49307.0,51769.0,47944.0
8,005010,휴스틸,1차 철강 제조업,"강관(배관용,구조용,유정용) 제조,도매",5,551.0,7240.0,Ave ROE,40370.0,31568.0,397.0,5.58,0.05,0.0,-3.13,4.39,0.97,No,0.05,0.0,-129.0,179.0,227.0,10,0.0,0.0,5370.0,5888.0,6906.0
9,900270,헝셩그룹,기타 금융업,자회사 제품 : 아동용 완구 및 아동복 등,5,550.0,705.0,Ave ROE,3929.0,4273.0,5491.0,5.57,7.79,0.0,12.56,10.82,15.32,No,7.79,0.0,439.0,345.0,390.0,10,0.0,0.0,2212.0,2004.0,2008.0
